Year,Model,Color,Base MSRP,Markup,Dealer Price,Shipping Status,Pre-Sold,Hold Status,VIN,Dealer,Dealer State
2024,AT RWD,Trueno Blue,30400,0,30400,Port to dealer,False,,JF1ZNBB10R8759939,Toyota of Downtown LA,CA
2024,AT RWD,Raven,30400,1749,32149,Port to dealer,False,DealerHold,JF1ZNBB10R8760136,Wondries Toyota,CA
2024,AT RWD,Track bRED,30400,0,30400,Factory to port,False,,JF1ZNBB10R8760315,Fitzgerald Toyota Gaithersburg,MD
2024,AT RWD,Raven,30400,0,30400,Factory to port,False,,JF1ZNBB10R8760489,Freeway Toyota of Hanford,CA
2024,AT RWD,Halo,30400,0,30400,Factory to port,False,,JF1ZNBB10R8760797,Modesto Toyota,CA
2024,MT RWD,Steel,29300,0,29300,At dealer,False,DealerHold,JF1ZNBB10R9752984,DARCARS Toyota,MD
2024,MT RWD,Halo,29300,0,29300,At dealer,False,DealerHold,JF1ZNBB10R9758705,Karl Malone Toyota,UT
2024,MT RWD,Halo,29300,0,29300,Port to dealer,False,DealerHold,JF1ZNBB10R9759630,Fitzgerald Toyota Gaithersburg,MD
2024,MT RWD,Track bRED,29300,0,29300,Port to dealer,False,,JF1ZNBB10R9759871,Precision Toyota of Tucson,AZ
2024,MT RWD,Halo,29300,0,29300,Factory to port,False,,JF1ZNBB10R9760034,Toyota of Gladstone,OR
2024,MT RWD,Pavement,29300,0,29300,Factory to port,True,DealerHold,JF1ZNBB10R9760051,Ira Toyota,MA
2024,MT RWD,Raven,29300,0,29300,Port to dealer,False,,JF1ZNBB10R9760132,Toyota of Gladstone,OR
2024,MT RWD,Pavement,29300,0,29300,Factory to port,False,DealerHold,JF1ZNBB10R9760325,Herb Chambers Toyota of Auburn,MA
2024,MT RWD,Trueno Blue,29300,0,29300,Factory to port,False,,JF1ZNBB10R9760518,Basil Toyota,NY
2024,MT RWD,Halo,29300,0,29300,Factory to port,False,Available,JF1ZNBB10R9760566,Serra Toyota of Decatur,AL
2024,MT RWD,Track bRED,29300,0,29300,Factory to port,False,,JF1ZNBB10R9760714,Hartford Toyota,CT
2024,MT RWD,Halo,29300,0,29300,Factory to port,False,,JF1ZNBB10R9760731,Shelor Toyota,VA
2024,MT RWD,Trueno Blue,29300,0,29300,Factory to port,False,,JF1ZNBB10R9760888,Marysville Toyota,WA
2024,AT RWD,Steel,30400,0,30400,Factory to port,False,,JF1ZNBB11R137DE44,Hansel Toyota,CA
2024,MT RWD,Steel,29300,1094,30394,Factory to port,False,,JF1ZNBB11R137DU29,Prestige Toyota of Ramsey,NJ
2024,AT RWD,Trueno Blue,30400,0,30400,At dealer,False,DealerHold,JF1ZNBB11R8759447,Battlefield Toyota,VA
2024,AT RWD,Halo,30400,0,30400,Factory to port,False,DealerHold,JF1ZNBB11R8759898,Manhattan Beach Toyota,CA
2024,AT RWD,Halo,30400,0,30400,Factory to port,False,,JF1ZNBB11R8760131,Toyota Chula Vista,CA
2024,AT RWD,Raven,30400,570,30970,Port to dealer,False,,JF1ZNBB11R8760257,Hanlees Hilltop Toyota,CA
2024,AT RWD,Track bRED,30400,0,30400,Factory to port,False,,JF1ZNBB11R8760291,Ourisman Chantilly Toyota,VA
2024,MT RWD,Raven,29300,0,29300,At dealer,False,Available,JF1ZNBB11R9757689,Mark Miller Toyota,UT
2024,MT RWD,Pavement,29300,0,29300,Factory to port,False,DealerHold,JF1ZNBB11R9759801,DARCARS Toyota,MD
2024,MT RWD,Steel,29300,0,29300,At dealer,False,,JF1ZNBB11R9759846,Grants Pass Toyota,OR
2024,MT RWD,Pavement,29300,0,29300,Port to dealer,False,,JF1ZNBB11R9760141,Toyota of Riverside,CA
2024,MT RWD,Raven,29300,0,29300,Factory to port,False,,JF1ZNBB11R9760205,Hometown Toyota,OR
2024,MT RWD,Halo,29300,0,29300,Factory to port,False,DealerHold,JF1ZNBB11R9760267,Town Toyota,WA
2024,MT RWD,Track bRED,29300,0,29300,Factory to port,False,,JF1ZNBB11R9760463,Sierra Toyota,AZ
2024,MT RWD,Halo,29300,0,29300,Factory to port,False,DealerHold,JF1ZNBB11R9760561,Toyota of Riverside,CA
2024,MT RWD,Pavement,29300,0,29300,Factory to port,False,,JF1ZNBB11R9760771,Rogers Toyota,ID
2024,MT RWD,Pavement,29300,0,29300,Factory to port,False,,JF1ZNBB11R9760804,Ron Tonkin Toyota,OR
2024,MT RWD,Steel,29300,0,29300,Factory to port,False,Available,JF1ZNBB11R9760821,Marysville Toyota,WA
2024,MT RWD,Halo,29300,1298,30598,Factory to port,False,,JF1ZNBB11R9760866,Toyota of Kirkland,WA
2024,MT RWD,Halo,29300,2495,31795,Factory to port,False,,JF1ZNBB11R9760950,Toyota of Orange,CA
2024,AT RWD,Track bRED,30400,0,30400,At dealer,False,,JF1ZNBB12R8759439,Moses Toyota,WV
2024,AT RWD,Halo,30400,0,30400,Port to dealer,False,Available,JF1ZNBB12R8759943,Toyota of Tampa Bay,FL
2024,AT RWD,Trueno Blue,30400,0,30400,Factory to port,False,,JF1ZNBB12R8759974,Jim Coleman Toyota,MD
2024,AT RWD,Halo,30400,0,30400,Port to dealer,True,DealerHold,JF1ZNBB12R8759991,Toyota of Anaheim,CA
2024,AT RWD,Halo,30400,0,30400,Port to dealer,False,,JF1ZNBB12R8760073,Toyota Santa Monica,CA
2024,AT RWD,Halo,30400,0,30400,Factory to port,False,Available,JF1ZNBB12R8760266,Flow Toyota of Statesville,NC
2024,AT RWD,Pavement,30400,0,30400,Factory to port,False,,JF1ZNBB12R8760283,Toyota of Downtown LA,CA
2024,AT RWD,Steel,30400,0,30400,Factory to port,False,Available,JF1ZNBB12R8760414,Mac Haik Toyota,TX
