Year,Model,Color,Base MSRP,Markup,Dealer Price,Shipping Status,Pre-Sold,Hold Status,VIN,Dealer,Dealer State
2023,LE FWD,Ice Edge,25945,3568.0,29513.0,Factory to port,False,,4T1C11AK0PU091981,Bell Road Toyota,AZ
2023,LE FWD,Reservoir Blue,26320,0.0,26320.0,Factory to port,False,Available,4T1C11AK0PU180840,Jim Ellis Toyota of McDonough,GA
2023,LE FWD,Supersonic Red,26320,0.0,26320.0,Factory to port,False,,4T1C11AK0PU182328,Sheehy Toyota of Laurel,MD
2023,LE FWD,Celestial Silver Metallic,26320,0.0,26320.0,At dealer,False,Available,4T1C11AK0PU186041,Parkway Toyota,NJ
2023,LE FWD,Reservoir Blue,26320,0.0,26320.0,Factory to port,False,DealerHold,4T1C11AK0PU186489,Right Toyota,AZ
2023,LE FWD,Ice Edge,26320,0.0,26320.0,At dealer,False,Available,4T1C11AK0PU188338,Bryan Easler Toyota,NC
2023,LE FWD,Predawn Gray Mica,26320,0.0,26320.0,Port to dealer,True,DealerHold,4T1C11AK0PU188386,Toyota of Puyallup,WA
2023,LE FWD,Ice Edge,26320,0.0,26320.0,At dealer,False,Available,4T1C11AK0PU188470,Toyota of Anaheim,CA
2023,LE FWD,Celestial Silver Metallic,26320,299.0,26619.0,At dealer,False,,4T1C11AK0PU188520,Mike Erdman Toyota,FL
2023,LE FWD,Predawn Gray Mica,26320,0.0,26320.0,At dealer,False,,4T1C11AK0PU837877,Greentree Toyota,CT
2023,LE FWD,Predawn Gray Mica,26320,0.0,26320.0,At dealer,False,Available,4T1C11AK0PU838012,Lithia Toyota of Springfield,OR
2023,LE FWD,Celestial Silver Metallic,26320,0.0,26320.0,At dealer,False,DealerHold,4T1C11AK0PU838950,Steet Toyota,NY
2024,LE FWD,Predawn Gray Mica,26420,0.0,26420.0,Port to dealer,False,,4T1C11AK0RU188813,Earnhardt Toyota,AZ
2024,LE FWD,Predawn Gray Mica,26420,0.0,26420.0,At dealer,False,,4T1C11AK0RU188844,Westchester Toyota,NY
2024,LE FWD,Supersonic Red,26420,0.0,26420.0,At dealer,False,Available,4T1C11AK0RU189086,Seminole Toyota,FL
2024,LE FWD,Ice Cap,26420,0.0,26420.0,Port to dealer,False,,4T1C11AK0RU189444,DCH Toyota of Oxnard,CA
2024,LE FWD,Celestial Silver Metallic,26420,0.0,26420.0,At dealer,False,DealerHold,4T1C11AK0RU189699,Heyward Allen Toyota,GA
2024,LE FWD,Ice Edge,26420,0.0,26420.0,At dealer,False,Available,4T1C11AK0RU190013,Atlanta Toyota,GA
2024,LE FWD,Celestial Silver Metallic,26420,0.0,26420.0,At dealer,False,Available,4T1C11AK0RU190271,Toyota of Laredo,TX
2024,LE FWD,Midnight Black Metallic,26420,0.0,26420.0,Port to dealer,False,,4T1C11AK0RU190657,Camelback Toyota,AZ
2024,LE FWD,Reservoir Blue,26420,0.0,26420.0,Port to dealer,False,,4T1C11AK0RU190965,Northtown Toyota,NY
2024,LE FWD,Ice Cap,26420,0.0,26420.0,At dealer,False,Available,4T1C11AK0RU191033,Limbaugh Toyota,AL
2024,LE FWD,Ice Cap,26420,0.0,26420.0,Port to dealer,True,,4T1C11AK0RU191050,Avondale Toyota,AZ
2024,LE FWD,Predawn Gray Mica,26420,0.0,26420.0,Port to dealer,True,Available,4T1C11AK0RU191369,Middletown Toyota,CT
2024,LE FWD,Ice Cap,26420,0.0,26420.0,Port to dealer,False,,4T1C11AK0RU191470,Earnhardt Toyota,AZ
2024,LE FWD,Supersonic Red,26420,0.0,26420.0,Port to dealer,False,,4T1C11AK0RU191548,Miller Toyota,VA
2024,LE FWD,Ice Cap,26420,0.0,26420.0,Factory to port,False,Available,4T1C11AK0RU191713,AutoNation Toyota Pinellas Park,FL
2024,LE FWD,Predawn Gray Mica,26420,0.0,26420.0,Factory to port,False,Available,4T1C11AK0RU191727,Sarasota Toyota,FL
2024,LE FWD,Predawn Gray Mica,26420,0.0,26420.0,Factory to port,False,,4T1C11AK0RU191744,Palmer's Airport Toyota,AL
2024,LE FWD,Midnight Black Metallic,26420,0.0,26420.0,Factory to port,False,Available,4T1C11AK0RU191758,Germain Toyota of Naples,FL
2024,LE FWD,Predawn Gray Mica,26420,0.0,26420.0,Factory to port,False,Available,4T1C11AK0RU191761,Eastern Shore Toyota,AL
2024,LE FWD,Midnight Black Metallic,26420,0.0,26420.0,Port to dealer,False,,4T1C11AK0RU191825,Lia Toyota of Colonie,NY
2024,LE FWD,Midnight Black Metallic,26420,0.0,26420.0,Port to dealer,False,Available,4T1C11AK0RU191842,Toyota of Escondido,CA
2024,LE FWD,Midnight Black Metallic,26420,0.0,26420.0,Port to dealer,False,DealerHold,4T1C11AK0RU191887,Toyota of Nashua,NH
2024,LE FWD,Celestial Silver Metallic,26420,0.0,26420.0,Port to dealer,False,,4T1C11AK0RU191940,Prestige Toyota of Ramsey,NJ
2024,LE FWD,Ice Cap,26420,0.0,26420.0,Port to dealer,False,,4T1C11AK0RU191954,Victory Toyota,CA
2024,LE FWD,Midnight Black Metallic,26420,0.0,26420.0,Port to dealer,False,DealerHold,4T1C11AK0RU192070,Walser Bloomington Toyota,MN
2024,LE FWD,Supersonic Red,26420,0.0,26420.0,Factory to port,False,,4T1C11AK0RU192134,Serra Toyota,AL
2024,LE FWD,Midnight Black Metallic,26420,0.0,26420.0,Port to dealer,False,,4T1C11AK0RU192201,Hillside Toyota,NY
2024,LE FWD,Predawn Gray Mica,26420,0.0,26420.0,Port to dealer,False,,4T1C11AK0RU192263,Miller Toyota,VA
2024,LE FWD,Supersonic Red,26420,0.0,26420.0,Factory to port,False,Available,4T1C11AK0RU192330,Lakeland Toyota,FL
2024,LE FWD,Ice Cap,26420,0.0,26420.0,Port to dealer,False,,4T1C11AK0RU192389,Island Toyota,NY
2024,LE FWD,Ice Cap,26420,0.0,26420.0,Port to dealer,False,,4T1C11AK0RU192473,Toyota of Downtown LA,CA
2024,LE FWD,Ice Cap,26420,0.0,26420.0,Port to dealer,False,,4T1C11AK0RU192540,Norm Reeves Toyota San Diego,CA
2024,LE FWD,Ice Edge,26420,0.0,26420.0,Port to dealer,False,,4T1C11AK0RU192621,Toyota of Huntington Beach,CA
2024,LE FWD,Predawn Gray Mica,26420,0.0,26420.0,At dealer,False,Available,4T1C11AK0RU192649,Crown Toyota,IL
2024,LE FWD,Ice Cap,26420,0.0,26420.0,Port to dealer,False,,4T1C11AK0RU192831,San Francisco Toyota,CA
