Year,Model,Color,Base MSRP,Markup,Dealer Price,Shipping Status,Pre-Sold,Hold Status,VIN,Dealer,Dealer State
2024,Camry LE Hybrid FWD,Celestial Silver Metallic,28855,0.0,28855.0,Port to dealer,False,,4T1C31AK0RU060341,Stephen Toyota,CT
2024,Camry LE Hybrid FWD,Reservoir Blue,28855,0.0,28855.0,At dealer,False,,4T1C31AK0RU062249,City Toyota,MT
2024,Camry LE Hybrid FWD,Midnight Black Metallic,28855,1995.0,30850.0,At dealer,True,DealerHold,4T1C31AK0RU062395,Toyota Carlsbad,CA
2024,Camry LE Hybrid FWD,Ice Cap,28855,0.0,28855.0,At dealer,False,,4T1C31AK0RU062476,Mid City Toyota,CA
2024,Camry LE Hybrid FWD,Ice Cap,28855,0.0,28855.0,At dealer,False,Available,4T1C31AK0RU062686,A-1 Toyota,CT
2024,Camry LE Hybrid FWD,Midnight Black Metallic,28855,0.0,28855.0,At dealer,False,Available,4T1C31AK0RU062736,Vic Vaughan Toyota of Boerne,TX
2024,Camry LE Hybrid FWD,Celestial Silver Metallic,28855,0.0,28855.0,At dealer,False,,4T1C31AK0RU062820,Parkway Toyota,NJ
2024,Camry LE Hybrid FWD,Predawn Gray Mica,28855,0.0,28855.0,Port to dealer,False,,4T1C31AK0RU063448,Del Toyota,PA
2024,Camry LE Hybrid FWD,Ice Cap,28855,0.0,28855.0,Port to dealer,True,DealerHold,4T1C31AK0RU063496,Westbrook Toyota,CT
2024,Camry LE Hybrid FWD,Celestial Silver Metallic,28855,0.0,28855.0,At dealer,False,Available,4T1C31AK0RU063577,DCH Brunswick Toyota,NJ
2024,Camry LE Hybrid FWD,Predawn Gray Mica,28855,0.0,28855.0,Port to dealer,False,DealerHold,4T1C31AK0RU063725,Heritage Toyota Catonsville,MD
2024,Camry LE Hybrid FWD,Supersonic Red,28855,0.0,28855.0,Port to dealer,True,Available,4T1C31AK0RU063918,Toyota Chula Vista,CA
2024,Camry LE Hybrid FWD,Reservoir Blue,28855,0.0,28855.0,Port to dealer,False,,4T1C31AK0RU064230,Culver City Toyota,CA
2024,Camry LE Hybrid FWD,Midnight Black Metallic,28855,0.0,28855.0,At dealer,False,Available,4T1C31AK0RU064289,Golling Toyota of Warren,MI
2024,Camry LE Hybrid FWD,Predawn Gray Mica,28855,0.0,28855.0,Port to dealer,False,,4T1C31AK0RU064387,Mark Toyota of Plover,WI
2024,Camry LE Hybrid FWD,Reservoir Blue,28855,0.0,28855.0,Port to dealer,False,,4T1C31AK0RU064499,West Coast Toyota of Long Beach,CA
2024,Camry LE Hybrid FWD,Celestial Silver Metallic,28855,0.0,28855.0,At dealer,False,,4T1C31AK0RU064518,Principle Toyota,TN
2024,Camry LE Hybrid FWD,Celestial Silver Metallic,28855,0.0,28855.0,Port to dealer,False,,4T1C31AK0RU064681,Toyota of Hackensack,NJ
2024,Camry LE Hybrid FWD,Celestial Silver Metallic,28855,1695.0,30550.0,Port to dealer,False,Available,4T1C31AK0RU064809,Anderson Toyota,AZ
2024,Camry LE Hybrid FWD,Predawn Gray Mica,28855,0.0,28855.0,Port to dealer,False,,4T1C31AK0RU064826,Conklin Toyota Salina,KS
2024,Camry LE Hybrid FWD,Celestial Silver Metallic,28855,0.0,28855.0,Port to dealer,False,DealerHold,4T1C31AK0RU065085,Olathe Toyota,KS
2024,Camry LE Hybrid FWD,Celestial Silver Metallic,28855,0.0,28855.0,Port to dealer,True,DealerHold,4T1C31AK0RU065281,Toyota Chula Vista,CA
2024,Camry LE Hybrid FWD,Ice Edge,28855,0.0,28855.0,Port to dealer,True,DealerHold,4T1C31AK0RU065295,Toyota Carlsbad,CA
2024,Camry LE Hybrid FWD,Ice Edge,28855,0.0,28855.0,Factory to port,False,,4T1C31AK0RU42A275,Toyota of Erie,PA
2024,Camry LE Hybrid FWD,Celestial Silver Metallic,28855,2985.0,31840.0,Factory to port,False,,4T1C31AK0RU42C382,Toyota World of Lakewood,NJ
2024,Camry LE Hybrid FWD,Celestial Silver Metallic,28855,2242.0,31097.0,Factory to port,False,,4T1C31AK0RU42F931,Toyota of Lancaster,CA
2024,Camry LE Hybrid FWD,Ice Edge,28855,0.0,28855.0,Factory to port,True,,4T1C31AK0RU43A773,Tustin Toyota,CA
2024,Camry LE Hybrid FWD,Ice Edge,28855,0.0,28855.0,Factory to port,False,Available,4T1C31AK0RU43A823,Allegheny Toyota,PA
2024,Camry LE Hybrid FWD,Predawn Gray Mica,28855,0.0,28855.0,Factory to port,True,Available,4T1C31AK0RU43E161,"Stapp Interstate Toyota, Inc.",CO
2024,Camry LE Hybrid FWD,Midnight Black Metallic,28855,0.0,28855.0,Factory to port,False,Available,4T1C31AK0RU43G153,Ed Morse Delray Toyota,FL
2024,Camry LE Hybrid FWD,Predawn Gray Mica,28855,0.0,28855.0,Factory to port,False,DealerHold,4T1C31AK0RU44D104,Central Florida Toyota,FL
2024,Camry LE Hybrid FWD,Ice Cap,28855,0.0,28855.0,Factory to port,False,,4T1C31AK0RU44D460,Toyota of Vero Beach,FL
2024,Camry LE Hybrid FWD,Ice Cap,28855,989.0,29844.0,Factory to port,False,DealerHold,4T1C31AK0RU44E012,Dayton Toyota,NJ
2024,Camry LE Hybrid FWD,Midnight Black Metallic,28855,0.0,28855.0,Factory to port,False,,4T1C31AK0RU44F953,Stephen Wade Toyota,UT
2024,Camry LE Hybrid FWD,Midnight Black Metallic,28855,0.0,28855.0,Factory to port,False,Available,4T1C31AK0RU44F970,Bob Tyler Toyota,FL
2024,Camry LE Hybrid FWD,Ice Edge,28855,0.0,28855.0,Factory to port,True,DealerHold,4T1C31AK0RU44F998,Lancaster Toyota,PA
2024,Camry LE Hybrid FWD,Midnight Black Metallic,28855,0.0,28855.0,Factory to port,False,,4T1C31AK0RU45D504,Rivera Toyota of Mt. Kisco,NY
2024,Camry LE Hybrid FWD,Ice Cap,28855,0.0,28855.0,Factory to port,False,,4T1C31AK0RU45H679,Stephen Wade Toyota,UT
2024,Camry LE Hybrid FWD,Celestial Silver Metallic,28855,0.0,28855.0,Factory to port,False,,4T1C31AK0RU46A162,Toyota of Hackensack,NJ
2024,Camry LE Hybrid FWD,Ice Cap,28855,1990.0,30845.0,Factory to port,True,,4T1C31AK0RU46F488,East Madison Toyota,WI
2024,Camry LE Hybrid FWD,Celestial Silver Metallic,28855,0.0,28855.0,Factory to port,True,,4T1C31AK0RU46F717,San Francisco Toyota,CA
2024,Camry LE Hybrid FWD,Midnight Black Metallic,28855,0.0,28855.0,At dealer,True,DealerHold,4T1C31AK0RU624392,Ira Toyota,MA
2024,Camry LE Hybrid FWD,Celestial Silver Metallic,28855,0.0,28855.0,Port to dealer,True,DealerHold,4T1C31AK0RU624456,I-5 Toyota,WA
2024,Camry LE Hybrid FWD,Ice Cap,28855,0.0,28855.0,Port to dealer,False,,4T1C31AK0RU624957,AutoNation Toyota Buena Park,CA
2024,Camry LE Hybrid FWD,Ice Cap,28855,0.0,28855.0,Port to dealer,False,DealerHold,4T1C31AK0RU625025,Kari Toyota,WI
2024,Camry LE Hybrid FWD,Midnight Black Metallic,28855,0.0,28855.0,Port to dealer,False,DealerHold,4T1C31AK0RU625087,Koons Tysons Toyota,VA
2024,Camry LE Hybrid FWD,Celestial Silver Metallic,28855,0.0,28855.0,Port to dealer,False,DealerHold,4T1C31AK0RU625154,WOW Toyota of Wallingford,CT
2024,Camry LE Hybrid FWD,Celestial Silver Metallic,28855,0.0,28855.0,Port to dealer,False,,4T1C31AK0RU625266,"Glen Motors, Inc.",NJ
2024,Camry LE Hybrid FWD,Celestial Silver Metallic,28855,0.0,28855.0,Port to dealer,True,,4T1C31AK0RU625347,Team Toyota of Princeton,NJ
2024,Camry LE Hybrid FWD,Ice Cap,28855,0.0,28855.0,Factory to port,False,DealerHold,4T1C31AK0RU625381,Toyota of Denton,TX
2024,Camry LE Hybrid FWD,Predawn Gray Mica,28855,0.0,28855.0,Port to dealer,False,,4T1C31AK0RU625400,Culver City Toyota,CA
2024,Camry LE Hybrid FWD,Ice Cap,28855,0.0,28855.0,At dealer,False,Available,4T1C31AK0RU625557,Buckhannon Toyota,WV
2024,Camry LE Hybrid FWD,Celestial Silver Metallic,28855,0.0,28855.0,Port to dealer,False,DealerHold,4T1C31AK0RU625607,Fox Toyota,NY
2024,Camry LE Hybrid FWD,Predawn Gray Mica,28855,0.0,28855.0,Port to dealer,False,,4T1C31AK0RU625638,Hanlees Hilltop Toyota,CA
2024,Camry LE Hybrid FWD,Celestial Silver Metallic,28855,0.0,28855.0,Port to dealer,True,DealerHold,4T1C31AK0RU625672,Passport Toyota,MD
