Year,Model,Color,Base MSRP,Markup,Dealer Price,Shipping Status,Pre-Sold,Hold Status,VIN,Dealer,Dealer State
2024,Nightshade FWD,Ice Cap,25340,0.0,25340.0,Factory to port,False,Available,5YFB4MCE0RP169403,Family Toyota of Burleson,TX
2024,Nightshade FWD,Ice Cap,25340,0.0,25340.0,Factory to port,False,Available,5YFB4MCE0RP169420,Poe Toyota,TX
2024,Nightshade FWD,Midnight Black Metallic,25340,0.0,25340.0,Factory to port,False,DealerHold,5YFB4MCE0RP37D073,Bev Smith Toyota,FL
2024,Nightshade FWD,Ice Cap,25340,699.0,26039.0,Factory to port,False,Available,5YFB4MCE0RP38B268,Landers Toyota,AR
2024,Nightshade FWD,Midnight Black Metallic,25340,0.0,25340.0,Factory to port,False,Available,5YFB4MCE0RP38C288,Bill Penney Toyota,AL
2024,Nightshade FWD,Midnight Black Metallic,25340,1098.0,26438.0,Factory to port,False,Available,5YFB4MCE1RP169295,Toyota of Cedar Park,TX
2024,Nightshade FWD,Ice Cap,25340,648.0,25988.0,Factory to port,False,Available,5YFB4MCE1RP169314,Don Ringler Toyota,TX
2024,Nightshade FWD,Ice Cap,25340,0.0,25340.0,Factory to port,False,Available,5YFB4MCE1RP169362,Doc's Toyota,MS
2024,Nightshade FWD,Classic Silver Metallic,25340,0.0,25340.0,Factory to port,False,Available,5YFB4MCE1RP38B117,Toyota of Puyallup,WA
2024,Nightshade FWD,Midnight Black Metallic,25340,0.0,25340.0,Factory to port,False,Available,5YFB4MCE1RP38C803,Cox Toyota,NC
2024,Nightshade FWD,Midnight Black Metallic,25340,499.0,25839.0,Factory to port,False,Available,5YFB4MCE1RP39A304,Caldwell Toyota,AR
2024,Nightshade FWD,Midnight Black Metallic,25340,0.0,25340.0,Factory to port,False,Available,5YFB4MCE1RP39A903,AutoNation Toyota South Austin,TX
2024,Nightshade FWD,Midnight Black Metallic,25340,0.0,25340.0,Factory to port,False,Available,5YFB4MCE1RP41C592,Beaver Toyota of Cumming,GA
2024,,SUPER WHITE 2,25340,0.0,25340.0,Port to dealer,False,Available,5YFB4MCE2RP169385,Elko Toyota,NV
2024,Nightshade FWD,Midnight Black Metallic,25340,699.0,26039.0,Factory to port,False,Available,5YFB4MCE2RP38B272,Landers Toyota,AR
2024,,SUPER WHITE 2,25340,0.0,25340.0,Port to dealer,False,Available,5YFB4MCE4RP166651,Right Toyota,AZ
2024,Nightshade FWD,Midnight Black Metallic,25340,0.0,25340.0,Factory to port,False,Available,5YFB4MCE4RP169288,Toyota of Del Rio,TX
2024,,CLASSIC SILVER MET,25340,0.0,25340.0,Port to dealer,False,Available,5YFB4MCE4RP169436,"Stapp Interstate Toyota, Inc.",CO
2024,Nightshade FWD,Ice Cap,25340,0.0,25340.0,Factory to port,False,Available,5YFB4MCE4RP39B611,Toyota of Denton,TX
2024,Nightshade FWD,Midnight Black Metallic,25340,0.0,25340.0,Factory to port,False,Available,5YFB4MCE5RP167226,Lithia Toyota of Abilene,TX
2024,Nightshade FWD,Midnight Black Metallic,25340,0.0,25340.0,Factory to port,False,Available,5YFB4MCE5RP38B864,Bev Smith Toyota,FL
2024,Nightshade FWD,Ice Cap,25340,0.0,25340.0,Factory to port,False,Available,5YFB4MCE5RP38D064,AutoNation Toyota Thornton Road,GA
2024,Nightshade FWD,Midnight Black Metallic,25340,2995.0,28335.0,Factory to port,False,Available,5YFB4MCE6RP169258,Toyota of Victoria,TX
2024,Nightshade FWD,Ice Cap,25340,0.0,25340.0,Factory to port,False,Available,5YFB4MCE6RP169339,Toyota of Del Rio,TX
2024,Nightshade FWD,Midnight Black Metallic,25340,0.0,25340.0,Port to dealer,False,,5YFB4MCE6RP169504,Ardmore Toyota,PA
2024,Nightshade FWD,Ice Cap,25340,0.0,25340.0,Factory to port,False,Available,5YFB4MCE6RP37A825,Cobb County Toyota,GA
2024,Nightshade FWD,Midnight Black Metallic,25340,0.0,25340.0,Factory to port,False,Available,5YFB4MCE6RP39C081,AutoNation Toyota Corpus Christi,TX
2024,Nightshade FWD,Ice Cap,25340,699.0,26039.0,Factory to port,False,Available,5YFB4MCE6RP39C842,Landers Toyota,AR
2024,Nightshade FWD,Ice Cap,25340,0.0,25340.0,Factory to port,False,,5YFB4MCE7RP169317,Milton Ruben Toyota of Augusta,GA
2024,Nightshade FWD,Classic Silver Metallic,25340,0.0,25340.0,Port to dealer,False,,5YFB4MCE7RP169558,DARCARS Toyota,MD
2024,Nightshade FWD,Midnight Black Metallic,25340,0.0,25340.0,Factory to port,False,Available,5YFB4MCE7RP38B400,Seminole Toyota,FL
2024,Nightshade FWD,Midnight Black Metallic,25340,0.0,25340.0,Factory to port,False,Available,5YFB4MCE7RP38B574,Lynch Toyota of Auburn,AL
2024,Nightshade FWD,Ice Cap,25340,2379.0,27719.0,Factory to port,False,Available,5YFB4MCE7RP39A906,Gullo Toyota of Conroe,TX
2024,,MIDNIGHT BLACK METALLIC,25340,0.0,25340.0,Port to dealer,False,Available,5YFB4MCE8RP166653,Herb Chambers Toyota of Auburn,MA
2024,Nightshade FWD,Midnight Black Metallic,25340,0.0,25340.0,Factory to port,False,Available,5YFB4MCE8RP169472,Toyota of Plano,TX
2024,Nightshade FWD,Midnight Black Metallic,25340,0.0,25340.0,Port to dealer,False,Available,5YFB4MCE8RP169567,Ron Tonkin Toyota,OR
2024,Nightshade FWD,Ice Cap,25340,0.0,25340.0,Factory to port,False,Available,5YFB4MCE8RP37A597,Cherokee County Toyota,GA
2024,Nightshade FWD,Midnight Black Metallic,25340,0.0,25340.0,Factory to port,False,Available,5YFB4MCE8RP39B448,Rick Hendrick Toyota Sandy Springs,GA
2024,Nightshade FWD,Midnight Black Metallic,25340,0.0,25340.0,Factory to port,False,Available,5YFB4MCE8RP39C079,Toyota of Denton,TX
2024,Nightshade FWD,Midnight Black Metallic,25340,2379.0,27719.0,Factory to port,False,Available,5YFB4MCE9RP39A311,Gullo Toyota of Conroe,TX
2024,Nightshade FWD,Ice Cap,25340,0.0,25340.0,Factory to port,False,Available,5YFB4MCE9RP39D063,Toyota of Rock Hill,SC
2024,Nightshade FWD,Midnight Black Metallic,25340,1098.0,26438.0,Factory to port,False,DealerHold,5YFB4MCEXRP169280,Toyota of Cedar Park,TX
2024,Nightshade FWD,Ice Cap,25340,0.0,25340.0,Factory to port,False,,5YFB4MCEXRP37C528,Arlington Toyota,FL
2024,Nightshade FWD,Ice Cap,25340,0.0,25340.0,Factory to port,False,Available,5YFB4MCEXRP38A239,Nalley Toyota of Roswell,GA
2024,Nightshade FWD,Midnight Black Metallic,25340,0.0,25340.0,Factory to port,False,Available,5YFB4MCEXRP39C231,Mike Johnson's Hickory Toyota,NC
2023,LE FWD,Ice Cap,21550,0.0,21550.0,Port to dealer,False,DealerHold,5YFB4MDE0PP035101,South Hills Toyota,PA
2023,LE FWD,Classic Silver Metallic,21700,0.0,21700.0,Port to dealer,False,DealerHold,5YFB4MDE0PP064601,Thornhill Toyota,WV
2023,LE FWD,Ice Cap,21700,0.0,21700.0,At dealer,False,Available,5YFB4MDE0PP065716,Sarasota Toyota,FL
2023,LE FWD,Blueprint,21700,0.0,21700.0,Factory to port,False,Available,5YFB4MDE0PP065814,Ken Ganley Toyota Akron,OH
2023,LE FWD,Ruby Flare Pearl,21700,0.0,21700.0,Factory to port,False,Available,5YFB4MDE0PP066378,Sunny King Toyota,AL
