Year,Model,Color,Base MSRP,Markup,Dealer Price,Shipping Status,Pre-Sold,Hold Status,VIN,Dealer,Dealer State
2023,L FWD,Celestite,23610,0.0,23610.0,Port to dealer,False,Available,7MUAAAAG0PV064250,Culver City Toyota,CA
2023,L FWD,Sonic Silver,23610,0.0,23610.0,Factory to port,False,Available,7MUAAAAG0PV065138,Chatham Parkway Toyota,GA
2023,L FWD,Celestite,23610,0.0,23610.0,Factory to port,False,DealerHold,7MUAAAAG0PV065169,Toyota of Hollywood,FL
2023,L FWD,Wind Chill Pearl,23610,2594.0,26204.0,At dealer,False,,7MUAAAAG0PV065477,Hudson Toyota,NJ
2023,L FWD,Sonic Silver,23610,0.0,23610.0,Factory to port,False,Available,7MUAAAAG0PV065589,Headquarter Toyota,FL
2023,L FWD,Wind Chill Pearl,23610,0.0,23610.0,Port to dealer,False,,7MUAAAAG0PV066449,DARCARS Toyota of Frederick,MD
2023,L FWD,Sonic Silver,23610,0.0,23610.0,Port to dealer,True,DealerHold,7MUAAAAG0PV066497,Vancouver Toyota,WA
2023,L FWD,Sonic Silver,23610,0.0,23610.0,Port to dealer,False,,7MUAAAAG0PV066631,Plaza Toyota,NY
2023,L FWD,Sonic Silver,23610,2594.0,26204.0,Port to dealer,False,,7MUAAAAG0PV066659,Hudson Toyota,NJ
2023,L FWD,Jet Black,23610,2488.0,26098.0,Port to dealer,False,Available,7MUAAAAG0PV067133,Toyota of Plano,TX
2023,L FWD,Wind Chill Pearl,23610,0.0,23610.0,Port to dealer,False,DealerHold,7MUAAAAG0PV067164,Westbury Toyota,NY
2023,L FWD,Celestite,23610,0.0,23610.0,Port to dealer,False,,7MUAAAAG0PV067200,Heritage Toyota Owings Mills,MD
2023,L FWD,Sonic Silver,23610,0.0,23610.0,Port to dealer,False,DealerHold,7MUAAAAG0PV067262,Kinderhook Toyota,NY
2023,L FWD,Jet Black,23610,0.0,23610.0,Port to dealer,True,DealerHold,7MUAAAAG0PV067374,Ira Toyota,MA
2023,L FWD,Celestite,23610,0.0,23610.0,Port to dealer,False,DealerHold,7MUAAAAG0PV067410,Balise Toyota of Warwick,RI
2023,L FWD,Jet Black,23610,0.0,23610.0,Port to dealer,True,DealerHold,7MUAAAAG0PV067617,"Bristol Toyota, Inc.",MA
2023,L FWD,Sonic Silver,23610,1699.0,25309.0,Factory to port,False,,7MUAAAAG0PV067892,Florence Toyota,SC
2023,L FWD,Wind Chill Pearl,23610,0.0,23610.0,Factory to port,False,Available,7MUAAAAG0PV067908,Hutchinson Toyota of Albany,GA
2023,L FWD,Jet Black,23610,0.0,23610.0,Factory to port,False,Available,7MUAAAAG0PV068167,West Kendall Toyota,FL
2023,L FWD,Sonic Silver,23610,0.0,23610.0,Port to dealer,False,DealerHold,7MUAAAAG0PV068198,Findlay Toyota,NV
2023,L FWD,Celestite,23610,0.0,23610.0,Port to dealer,False,DealerHold,7MUAAAAG0PV068265,West Coast Toyota of Long Beach,CA
2023,L FWD,Sonic Silver,23610,0.0,23610.0,Factory to port,False,Available,7MUAAAAG0PV068301,West Kendall Toyota,FL
2023,L FWD,Celestite,23610,0.0,23610.0,Port to dealer,False,DealerHold,7MUAAAAG0PV068380,Sansone Toyota,NJ
2023,L FWD,Wind Chill Pearl,23610,0.0,23610.0,Factory to port,False,Available,7MUAAAAG0PV068394,Milton Ruben Toyota of Augusta,GA
