Year,Model,Color,Base MSRP,Markup,Dealer Price,Shipping Status,Pre-Sold,Hold Status,VIN,Dealer,Dealer State
2023,SE AWD,Jet Black,29290,0.0,29290.0,Port to dealer,True,DealerHold,7MUFBABG0PV001277,Romano Toyota,NY
2023,SE AWD,Barcelona Red Metallic,29290,0.0,29290.0,At dealer,False,Available,7MUFBABG0PV003210,Thayer Toyota,OH
2023,SE AWD,Wind Chill Pearl,29290,0.0,29290.0,Factory to port,True,DealerHold,7MUFBABG0PV003739,I-10 Toyota,CA
2023,SE AWD,Wind Chill Pearl,29290,4999.0,34289.0,Port to dealer,False,DealerHold,7MUFBABG0PV005135,Toyota of Warren,OH
2023,S AWD,Jet Black,27970,0.0,27970.0,At dealer,False,Available,7MUFBABG0PV005765,Twin City Toyota,MO
2023,XSE AWD,Celestite,31065,0.0,31065.0,Port to dealer,True,,7MUFBABG0PV007273,Toyota of Des Moines,IA
2023,XSE AWD,Barcelona Red Metallic,31065,0.0,31065.0,At dealer,False,DealerHold,7MUFBABG0PV007354,Ball Toyota of Charleston,WV
2023,S AWD,Celestite,27970,0.0,27970.0,At dealer,True,,7MUFBABG0PV007399,Middletown Toyota,CT
2023,SE AWD,Sonic Silver,29290,0.0,29290.0,Factory to port,False,,7MUFBABG0PV007564,Cobb County Toyota,GA
2023,S AWD,Sonic Silver,27970,0.0,27970.0,At dealer,False,DealerHold,7MUFBABG0PV007824,Ammaar's Toyota Vacaville,CA
2023,XSE AWD,Wind Chill Pearl,31065,0.0,31065.0,At dealer,False,Available,7MUFBABG0PV007905,McKinnon Toyota,AL
2023,S AWD,Wind Chill Pearl,27970,2995.0,30965.0,At dealer,False,Available,7MUFBABG0PV007936,All Star Toyota of Baton Rouge,LA
2023,SE AWD,Blue Crush Metallic,29290,0.0,29290.0,At dealer,False,DealerHold,7MUFBABG0PV007967,Groove Toyota,CO
2023,XSE AWD,Jet Black,31065,0.0,31065.0,At dealer,False,Available,7MUFBABG0PV008018,Bernardi Toyota,MA
2023,SE AWD,Sonic Silver/Jet Black roof,29290,0.0,29290.0,At dealer,True,DealerHold,7MUFBABG0PV008276,Vancouver Toyota,WA
2023,XSE AWD,Blue Crush Metallic,31065,0.0,31065.0,Port to dealer,False,DealerHold,7MUFBABG0PV008293,Toyota of Downtown LA,CA
2023,S AWD,Sonic Silver,27970,0.0,27970.0,Factory to port,False,Available,7MUFBABG0PV008388,Mark Jacobson Toyota,NC
2023,SE AWD,Sonic Silver,29290,0.0,29290.0,Factory to port,True,DealerHold,7MUFBABG0PV008407,Mike Johnson's Hickory Toyota,NC
2023,SE AWD,Sonic Silver/Jet Black roof,29290,0.0,29290.0,Port to dealer,False,,7MUFBABG0PV008410,East Coast Toyota,NJ
2023,XSE AWD,Jet Black,31065,0.0,31065.0,At dealer,False,,7MUFBABG0PV008438,Beaverton Toyota,OR
2023,XSE AWD,Wind Chill Pearl,31065,0.0,31065.0,Port to dealer,False,DealerHold,7MUFBABG0PV008441,Berglund Toyota,VA
2023,SE AWD,Celestite,29290,0.0,29290.0,Factory to port,True,DealerHold,7MUFBABG0PV008486,Fowler Toyota of Tulsa,OK
2023,XSE AWD,Jet Black,31065,0.0,31065.0,Factory to port,False,Available,7MUFBABG0PV008536,Hendrick Toyota Wilmington,NC
2023,S AWD,Sonic Silver,27970,0.0,27970.0,At dealer,False,DealerHold,7MUFBABG0PV008665,Toyota of Hackensack,NJ
2023,SE AWD,Celestite,29290,0.0,29290.0,Factory to port,False,Available,7MUFBABG0PV008729,Toyota of Orlando,FL
2023,XSE AWD,Barcelona Red Metallic,31065,1295.0,32360.0,At dealer,False,Available,7MUFBABG0PV008746,Lone Star Toyota of Lewisville,TX
2023,S AWD,Wind Chill Pearl,27970,0.0,27970.0,Factory to port,True,DealerHold,7MUFBABG0PV008780,Community Toyota,TX
2023,XSE AWD,Acidic Blast/Jet Black roof,31065,2385.0,33450.0,Port to dealer,False,,7MUFBABG0PV008794,Thousand Oaks Toyota,CA
2023,SE AWD,Wind Chill Pearl,29290,0.0,29290.0,At dealer,False,Available,7MUFBABG0PV008813,Eastern Shore Toyota,AL
2023,SE AWD,Sonic Silver,29290,0.0,29290.0,Port to dealer,True,DealerHold,7MUFBABG0PV008858,Baxter Toyota of La Vista,NE
