Year,Model,Color,Base MSRP,Markup,Dealer Price,Shipping Status,Pre-Sold,Hold Status,VIN,Dealer,Dealer State
2023,LE FWD,Underground,23050,0.0,23050.0,Port to dealer,False,DealerHold,JTDBCMFE0P3021451,Colonial Toyota,PA
2023,LE FWD,Classic Silver Metallic,23050,0.0,23050.0,At dealer,False,,JTDBCMFE0P3023989,Toyota of Lompoc,CA
2023,LE FWD,Underground,23050,0.0,23050.0,Factory to port,True,DealerHold,JTDBCMFE0P3025032,Fitzgerald Toyota Gaithersburg,MD
2023,SE FWD,Wind Chill Pearl,25490,0.0,25490.0,Port to dealer,True,Available,JTDBCMFE0P3025063,McGeorge Toyota,VA
2023,SE FWD,Wind Chill Pearl,25490,0.0,25490.0,Factory to port,False,,JTDBCMFE0P3025144,Town & Country Toyota,NC
2023,LE FWD,Ice Cap,23050,0.0,23050.0,Factory to port,False,Available,JTDBCMFE0P3025158,Fred Anderson Toyota of Asheville,NC
2023,SE FWD,Midnight Black Metallic,25490,0.0,25490.0,At dealer,False,DealerHold,JTDBCMFE0P3025208,Uebelhor Toyota,IN
2023,SE FWD,Classic Silver Metallic,25490,0.0,25490.0,Port to dealer,False,DealerHold,JTDBCMFE0P3025497,Victory Toyota of Midtown,IL
2023,LE FWD,Wind Chill Pearl,23050,0.0,23050.0,Port to dealer,False,DealerHold,JTDBCMFE0P3025564,Seeger Toyota,MO
2023,LE FWD,Underground,23050,0.0,23050.0,At dealer,True,DealerHold,JTDBCMFE0P3025886,Valenti Toyota,RI
2023,LE FWD,Celestite,23050,0.0,23050.0,Port to dealer,False,,JTDBCMFE0P3026083,Ourisman Fairfax Toyota,VA
2023,LE FWD,Ice Cap,23050,2995.0,26045.0,Factory to port,False,Available,JTDBCMFE0P3026147,Classic Toyota,TX
2023,LE FWD,Midnight Black Metallic,23050,0.0,23050.0,At dealer,False,Available,JTDBCMFE0P3026309,Fred Anderson Toyota,NC
2023,LE FWD,Ice Cap,23050,0.0,23050.0,Factory to port,False,Available,JTDBCMFE0P3026472,Doral Toyota,FL
2023,LE FWD,Celestite,23050,0.0,23050.0,Factory to port,False,DealerHold,JTDBCMFE0P3026505,Courtesy Toyota,FL
2023,LE FWD,Wind Chill Pearl,23050,0.0,23050.0,Factory to port,False,Available,JTDBCMFE0P3026519,Toyota of Tampa Bay,FL
2023,SE Infrared FWD,Ice Cap,26025,0.0,26025.0,At dealer,False,Available,JTDBCMFE0P3026522,Serra Toyota of Decatur,AL
2023,SE Infrared FWD,Midnight Black Metallic,26025,0.0,26025.0,At dealer,False,Available,JTDBCMFE0P3026553,Rivertown Toyota,GA
2023,LE FWD,Ice Cap,23050,0.0,23050.0,At dealer,True,DealerHold,JTDBCMFE0P3026570,Fox Toyota of Cadillac,MI
2023,SE Infrared FWD,Ice Cap,26025,0.0,26025.0,Factory to port,False,Available,JTDBCMFE0P3026696,Hendrick Toyota Concord,NC
2023,SE FWD,Underground,25490,0.0,25490.0,Port to dealer,False,DealerHold,JTDBCMFE0P3026830,Walser Bloomington Toyota,MN
2023,XLE FWD,Underground,26850,0.0,26850.0,At dealer,False,DealerHold,JTDBCMFE0P3026844,Toyota of Dartmouth,MA
2023,SE FWD,Classic Silver Metallic,25490,1098.0,26588.0,Factory to port,True,Available,JTDBCMFE0P3026861,Toyota of Cedar Park,TX
2023,SE FWD,Celestite,25490,0.0,25490.0,Port to dealer,True,DealerHold,JTDBCMFE0P3026889,Toyota of Plano,TX
2023,LE FWD,Wind Chill Pearl,23050,0.0,23050.0,At dealer,False,Available,JTDBCMFE0P3026908,Seminole Toyota,FL
2023,LE FWD,Underground,23050,897.0,23947.0,Port to dealer,True,DealerHold,JTDBCMFE0P3027007,Toyota of Irving,TX
2023,LE FWD,Ice Cap,23050,0.0,23050.0,At dealer,False,Available,JTDBCMFE0P3027024,Valdosta Toyota,GA
2023,LE FWD,Ice Cap,23050,0.0,23050.0,Factory to port,True,DealerHold,JTDBCMFE0P3027119,Shottenkirk Toyota Granbury,TX
2023,LE FWD,Midnight Black Metallic,23050,0.0,23050.0,Factory to port,False,DealerHold,JTDBCMFE0P3027122,Rocky Mount Toyota,NC
2023,LE FWD,Classic Silver Metallic,23050,0.0,23050.0,At dealer,False,Available,JTDBCMFE0P3027198,Bob Tyler Toyota,FL
2023,LE FWD,Classic Silver Metallic,23050,0.0,23050.0,Factory to port,False,Available,JTDBCMFE0P3027234,Toyota of Clermont,FL
2023,LE FWD,Classic Silver Metallic,23050,0.0,23050.0,Factory to port,True,Available,JTDBCMFE0P3027251,John Harvey Toyota,LA
2023,LE FWD,Underground,23050,0.0,23050.0,Factory to port,False,DealerHold,JTDBCMFE0P3027279,Fred Haas Toyota World,TX
2023,LE FWD,Classic Silver Metallic,23050,0.0,23050.0,Port to dealer,True,DealerHold,JTDBCMFE0P3027315,Byers Toyota,OH
2023,SE FWD,Blueprint,25490,0.0,25490.0,At dealer,False,DealerHold,JTDBCMFE0PJ010381,Pauly Toyota,IL
2023,LE FWD,Ruby Flare Pearl,23050,0.0,23050.0,At dealer,False,Available,JTDBCMFE0PJ010400,Ferris Toyota,OH
2023,LE FWD,Celestite,23050,0.0,23050.0,At dealer,True,DealerHold,JTDBCMFE0PJ011207,Byers Toyota,OH
2023,LE FWD,Midnight Black Metallic,23050,0.0,23050.0,Port to dealer,True,,JTDBCMFE0PJ011451,Toyota of Des Moines,IA
2023,SE FWD,Blueprint,25490,0.0,25490.0,Port to dealer,False,,JTDBCMFE0PJ013605,Victory Toyota of Midtown,IL
2023,LE FWD,Ruby Flare Pearl,23050,0.0,23050.0,At dealer,False,DealerHold,JTDBCMFE0PJ013720,Metro Toyota,OH
2023,LE FWD,Ruby Flare Pearl,23050,0.0,23050.0,At dealer,False,DealerHold,JTDBCMFE0PJ013927,Crown Toyota,KS
2023,LE FWD,Celestite,23050,0.0,23050.0,Factory to port,False,,JTDBCMFE0PJ014334,Sarasota Toyota,FL
2023,LE FWD,Ice Cap,23050,0.0,23050.0,At dealer,False,Available,JTDBCMFE0PJ014513,Toyota of Boardman,OH
2023,SE FWD,Wind Chill Pearl,25490,0.0,25490.0,Port to dealer,False,DealerHold,JTDBCMFE0PJ014530,Five Star Toyota,WA
2023,SE FWD,Blueprint,25490,0.0,25490.0,Port to dealer,False,DealerHold,JTDBCMFE0PJ014561,Seeger Toyota,MO
2023,LE FWD,Wind Chill Pearl,23050,0.0,23050.0,Port to dealer,False,DealerHold,JTDBCMFE0PJ014592,Rick Collins Toyota,IA
2023,LE FWD,Wind Chill Pearl,23050,0.0,23050.0,Port to dealer,True,DealerHold,JTDBCMFE0PJ014656,Adams Toyota Lee's Summit,MO
2023,LE FWD,Ruby Flare Pearl,23050,0.0,23050.0,Port to dealer,False,DealerHold,JTDBCMFE0PJ014673,Orland Toyota,IL
2023,SE FWD,Wind Chill Pearl,25490,0.0,25490.0,Port to dealer,True,,JTDBCMFE0PJ014785,Hanover Toyota,PA
2023,LE FWD,Ice Cap,23050,0.0,23050.0,Port to dealer,False,DealerHold,JTDBCMFE0PJ014897,Bill Estes Toyota,IN
2023,LE FWD,Classic Silver Metallic,23050,0.0,23050.0,Port to dealer,False,DealerHold,JTDBCMFE0PJ014947,Joe Machens Toyota,MO
2023,LE FWD,Blueprint,23050,0.0,23050.0,Factory to port,False,Available,JTDBCMFE0PJ015399,Modern Toyota,NC
2023,SE FWD,Celestite,25490,4169.0,29659.0,Port to dealer,True,DealerHold,JTDBCMFE0PJ015452,Poe Toyota,TX
2023,SE FWD,Celestite,25490,0.0,25490.0,Port to dealer,False,DealerHold,JTDBCMFE0PJ015483,Don Jacobs Toyota,WI
2023,SE FWD,Midnight Black Metallic,25490,0.0,25490.0,Port to dealer,False,DealerHold,JTDBCMFE0PJ015581,Corwin Toyota of Bellevue,NE
2023,LE FWD,Midnight Black Metallic,23050,0.0,23050.0,Factory to port,False,Available,JTDBCMFE0PJ015614,Leith Toyota,NC
2023,LE FWD,Ruby Flare Pearl,23050,0.0,23050.0,At dealer,False,Available,JTDBCMFE0PJ015743,Hendrick Toyota Concord,NC
