Year,Model,Color,Drivetrain,Base MSRP,Markup,Dealer Price,Shipping Status,Pre-Sold,Hold Status,VIN,Dealer,Dealer State
2024,XLE,SILVER ME.,FWD,44670,0.0,44670.0,Factory to port,False,Available,5TDABAA50RS000153,Trotter Toyota,AR
2024,XLE,Wind Chill Pearl,FWD,44670,0.0,44670.0,At dealer,False,Available,5TDABAA51RS000078,Ammaar's Toyota Vacaville,CA
2024,XLE,ATTITUDE BLACK MC.,FWD,44670,0.0,44670.0,Factory to port,True,Available,5TDABAA51RS000114,Family Toyota of Burleson,TX
2024,XLE,WIND CHILL PEARL*,FWD,44670,0.0,44670.0,Factory to port,False,Available,5TDABAA51RS000128,Doc's Toyota,MS
2024,XLE,Coastal Cream,FWD,44670,0.0,44670.0,Port to dealer,False,DealerHold,5TDABAA51RS000145,Toyota of Pasadena,CA
2024,XLE,Wind Chill Pearl,FWD,44670,0.0,44670.0,Factory to port,False,DealerHold,5TDABAA51RS30C670,Stevens Creek Toyota,CA
2024,XLE,Storm Cloud,FWD,44670,0.0,44670.0,Factory to port,False,,5TDABAA51RS31D877,Maita's Toyota of Sacramento,CA
2024,XLE,Wind Chill Pearl,FWD,44670,0.0,44670.0,Port to dealer,False,DealerHold,5TDABAA52RS000140,Moss Bros. Toyota,CA
2024,XLE,Wind Chill Pearl,FWD,44670,0.0,44670.0,Factory to port,True,DealerHold,5TDABAA52RS33D328,Modesto Toyota,CA
2024,XLE,Wind Chill Pearl,FWD,44670,0.0,44670.0,Port to dealer,False,Available,5TDABAA53RS000115,Toyota of Escondido,CA
2024,XLE,Wind Chill Pearl,FWD,44670,0.0,44670.0,Factory to port,True,DealerHold,5TDABAA53RS33D192,AutoNation Toyota Buena Park,CA
2024,XLE,Storm Cloud,FWD,44670,0.0,44670.0,Port to dealer,True,DealerHold,5TDABAA54RS000110,DCH Toyota of Torrance,CA
2024,XLE,WIND CHILL PEARL,FWD,44670,0.0,44670.0,Factory to port,False,Available,5TDABAA55RS000097,Walker Toyota,LA
2024,XLE,ATTITUDE BLACK MC.,FWD,44670,0.0,44670.0,Factory to port,True,DealerHold,5TDABAA55RS000150,Oakes Toyota,MS
2024,XLE,SILVER ME.,FWD,44670,3000.0,47670.0,Factory to port,False,Available,5TDABAA56RS000142,Toyota of Hattiesburg,MS
2024,XLE,Storm Cloud,FWD,44670,0.0,44670.0,Port to dealer,False,DealerHold,5TDABAA57RS000098,AutoNation Toyota Buena Park,CA
2024,XLE,Wind Chill Pearl,FWD,44670,0.0,44670.0,Port to dealer,False,,5TDABAA57RS000134,I-10 Toyota,CA
2024,XLE,Storm Cloud,FWD,44670,0.0,44670.0,Port to dealer,False,DealerHold,5TDABAA59RS000118,Wondries Toyota,CA
2024,XLE,Wind Chill Pearl,FWD,44670,0.0,44670.0,Port to dealer,True,DealerHold,5TDABAA59RS000135,Gosch Toyota,CA
2024,XLE,Wind Chill Pearl,FWD,44670,0.0,44670.0,Port to dealer,False,DealerHold,5TDABAA59RS000149,Toyota Walnut Creek,CA
2024,XLE,ATTITUDE BLACK MC.,FWD,44670,0.0,44670.0,Factory to port,True,Available,5TDABAA59RS30C948,Toyota of Denton,TX
2024,XLE,Wind Chill Pearl,FWD,44670,6173.0,50843.0,Factory to port,True,Available,5TDABAA59RS33C628,AutoNation Toyota Irvine,CA
2024,XLE,Coastal Cream,FWD,44670,0.0,44670.0,Factory to port,True,,5TDABAA5XRS30C960,One Toyota of Oakland,CA
2024,XLE,Storm Cloud,AWD,46270,0.0,46270.0,At dealer,True,DealerHold,5TDACAB50RS000066,Romano Toyota,NY
2024,XLE,Coastal Cream,AWD,46270,0.0,46270.0,At dealer,False,DealerHold,5TDACAB50RS000326,Prestige Toyota of Ramsey,NJ
2024,XLE,Wind Chill Pearl,AWD,46270,0.0,46270.0,Port to dealer,False,DealerHold,5TDACAB50RS000679,Parkway Toyota,NJ
2024,XLE,Wind Chill Pearl,AWD,46270,0.0,46270.0,Port to dealer,False,DealerHold,5TDACAB50RS000682,Town Toyota,WA
2024,XLE,Wind Chill Pearl,AWD,46270,0.0,46270.0,Port to dealer,False,,5TDACAB50RS000813,Dublin Toyota,CA
2024,Limited,Wind Chill Pearl,AWD,51060,0.0,51060.0,Port to dealer,False,DealerHold,5TDACAB50RS000830,Newburgh Toyota,NY
2024,Limited,COASTAL CREAM,AWD,51060,0.0,51060.0,Factory to port,False,Available,5TDACAB50RS000861,Don McGill Toyota,TX
2024,Limited,Coastal Cream,AWD,51060,0.0,51060.0,Port to dealer,False,DealerHold,5TDACAB50RS000875,Hanlees Fairfield Toyota,CA
2024,Limited,Celestial Silver Metallic,AWD,51060,1190.0,52250.0,Port to dealer,True,DealerHold,5TDACAB50RS000911,Simi Valley Toyota,CA
2024,Limited,Coastal Cream,AWD,51060,0.0,51060.0,Port to dealer,True,DealerHold,5TDACAB50RS000925,Temecula Valley Toyota,CA
2024,Limited,Wind Chill Pearl,AWD,51060,0.0,51060.0,Port to dealer,False,DealerHold,5TDACAB50RS000942,Autoland Toyota,NJ
2024,Limited,Storm Cloud,AWD,51060,0.0,51060.0,Port to dealer,True,DealerHold,5TDACAB50RS000973,Stone's Town and Country Toyota,ID
2024,Limited,Wind Chill Pearl,AWD,51060,0.0,51060.0,Port to dealer,False,,5TDACAB50RS000990,Island Toyota,NY
2024,XLE,Midnight Black Metallic,AWD,46270,0.0,46270.0,Port to dealer,False,Available,5TDACAB50RS001007,Jim Robinson Toyota,WV
2024,Limited,Coastal Cream,AWD,51060,0.0,51060.0,Port to dealer,False,DealerHold,5TDACAB50RS001041,Toyota of Hackensack,NJ
2024,XLE,Storm Cloud,AWD,46270,0.0,46270.0,At dealer,False,DealerHold,5TDACAB50RS001105,Germain Toyota of Columbus,OH
2024,Limited,Storm Cloud,AWD,51060,0.0,51060.0,Port to dealer,False,DealerHold,5TDACAB50RS001136,Empire Toyota of Huntington,NY
2024,XLE,Coastal Cream,AWD,46270,0.0,46270.0,Port to dealer,False,DealerHold,5TDACAB50RS001153,Elmore Toyota,CA
2024,Limited,WIND CHILL PEARL*,AWD,51060,7190.0,58250.0,Factory to port,True,DealerHold,5TDACAB50RS001184,Bob Howard Toyota,OK
2024,Limited,Wind Chill Pearl,AWD,51060,0.0,51060.0,Port to dealer,False,DealerHold,5TDACAB50RS001203,Sansone Toyota,NJ
2024,XLE,Celestial Silver Metallic,AWD,46270,0.0,46270.0,Port to dealer,True,DealerHold,5TDACAB50RS001217,Mike Kelly Toyota of Uniontown,PA
2024,XLE,Ruby Flare Pearl,AWD,46270,0.0,46270.0,Port to dealer,False,Available,5TDACAB50RS001296,Valenti Toyota,RI
2024,Limited,Wind Chill Pearl,AWD,51060,0.0,51060.0,Port to dealer,False,DealerHold,5TDACAB50RS001329,Toyota of Gladstone,OR
2024,Limited,Celestial Silver Metallic,AWD,51060,0.0,51060.0,Factory to port,False,DealerHold,5TDACAB50RS30C591,Bill Page Toyota,VA
2024,XLE,Celestial Silver Metallic,AWD,46270,7995.0,54265.0,Factory to port,False,Available,5TDACAB50RS30C736,Rodland Toyota,WA
2024,Limited,Wind Chill Pearl,AWD,51060,0.0,51060.0,Factory to port,True,,5TDACAB50RS30C896,Route 22 Toyota,NJ
2024,Limited,Wind Chill Pearl,AWD,51060,0.0,51060.0,Factory to port,True,,5TDACAB50RS30D014,Doxon Toyota,WA
2024,XLE,Blueprint,AWD,46270,0.0,46270.0,Factory to port,True,DealerHold,5TDACAB50RS30D577,Kendall Toyota of Bend,OR
2024,XLE,Ruby Flare Pearl,AWD,46270,0.0,46270.0,Factory to port,True,,5TDACAB50RS31E448,Faulkner Toyota,PA
2024,Limited,Storm Cloud,AWD,51060,11282.0,62342.0,Factory to port,False,,5TDACAB50RS32D280,Toyota of Tacoma,WA
2024,Limited,Midnight Black Metallic,AWD,51060,0.0,51060.0,Factory to port,False,,5TDACAB50RS32E400,Fordham Toyota,NY
