Year,Model,Color,Base MSRP,Markup,Dealer Price,Shipping Status,Pre-Sold,Hold Status,VIN,Dealer,Dealer State
2023,Circuit Edition AWD,Ice Cap,42900,0.0,42900.0,Factory to port,True,DealerHold,JTNABAAE0PA005620,Hatch Toyota Stateline,NM
2023,Circuit Edition AWD,Ice Cap,42900,0.0,42900.0,At dealer,True,DealerHold,JTNABAAE0PA005794,Toyota on Nicholasville,KY
2023,Circuit Edition AWD,Heavy Metal,42900,0.0,42900.0,Port to dealer,False,DealerHold,JTNABAAE0PA006086,Jeff Wyler Toyota of Clarksville,IN
2023,Circuit Edition AWD,Heavy Metal,42900,0.0,42900.0,Port to dealer,False,Available,JTNABAAE0PA006105,Butte Toyota,MT
2023,Circuit Edition AWD,Heavy Metal,42900,23490.0,66390.0,Factory to port,True,DealerHold,JTNABAAE0PA006153,Fred Haas Toyota World,TX
2023,Circuit Edition AWD,Heavy Metal,42900,0.0,42900.0,Port to dealer,True,DealerHold,JTNABAAE0PA006170,Fox Toyota,MI
2023,Circuit Edition AWD,Ice Cap,42900,0.0,42900.0,Port to dealer,False,DealerHold,JTNABAAE0PA006198,Ruda Chevrolet/Toyota,WI
2023,Circuit Edition AWD,Heavy Metal,42900,0.0,42900.0,Port to dealer,True,DealerHold,JTNABAAE0PA006251,Lewis Toyota of Hays,KS
2023,Circuit Edition AWD,Supersonic Red,42900,6264.0,49164.0,Port to dealer,True,DealerHold,JTNABAAE0PA006296,Toyota of Bedford,OH
2023,Core AWD,Supersonic Red,35900,0.0,35900.0,At dealer,False,Available,JTNABAAE0PA006461,Springhill Toyota,AL
2023,Core AWD,Supersonic Red,35900,0.0,35900.0,At dealer,False,Available,JTNABAAE0PA006492,Rick Hendrick Toyota Sandy Springs,GA
2023,Circuit Edition AWD,Ice Cap,42900,0.0,42900.0,Port to dealer,False,DealerHold,JTNABAAE0PA006573,Sharp Chevrolet-Toyota,SD
2023,Circuit Edition AWD,Ice Cap,42900,0.0,42900.0,Port to dealer,False,Available,JTNABAAE0PA006671,Harr Toyota,SD
2023,Circuit Edition AWD,Heavy Metal,42900,0.0,42900.0,Port to dealer,True,DealerHold,JTNABAAE0PA006833,Walker Toyota,OH
2023,Circuit Edition AWD,Heavy Metal,42900,0.0,42900.0,Port to dealer,True,DealerHold,JTNABAAE0PA006945,Waldorf Toyota,MD
2023,Core AWD,Ice Cap,35900,0.0,35900.0,Port to dealer,False,DealerHold,JTNABAAE0PA007013,Hall Toyota Virginia Beach,VA
2023,Core AWD,Black,35900,0.0,35900.0,At dealer,False,DealerHold,JTNABAAE0PA007139,Marysville Toyota,WA
2023,Core AWD,Ice Cap,35900,0.0,35900.0,Port to dealer,False,,JTNABAAE0PA007187,Plaza Toyota,NY
2023,Core AWD,Supersonic Red,35900,0.0,35900.0,At dealer,False,,JTNABAAE0PA007206,Fred Anderson Toyota,NC
2023,Core AWD,Black,35900,0.0,35900.0,Port to dealer,False,Available,JTNABAAE0PA007237,Herb Chambers Toyota of Auburn,MA
