Year,Model,Color,Base MSRP,Markup,Dealer Price,Shipping Status,Pre-Sold,Hold Status,VIN,Dealer,Dealer State
2022,Limited AWD,Moon Dust,46510,0.0,46510.0,L,False,Available,5TDDZRBH9NS191968,Key West Toyota,FL
2022,XLE FWD,Blueprint,41055,0.0,41055.0,At dealer,False,Available,5TDHZRAH8NS126273,Centennial Toyota,NV
2023,Limited FWD,Moon Dust,46275,0.0,46275.0,Factory to port,False,,5TDKDRAH0PS040835,Toyota Place,CA
2023,XLE FWD,Moon Dust,42020,0.0,42020.0,Factory to port,False,Available,5TDKDRAH0PS39D810,Atlanta Toyota,GA
2023,XLE FWD,Wind Chill Pearl,42020,2385.0,44405.0,Factory to port,False,,5TDKDRAH0PS39E018,Thousand Oaks Toyota,CA
2023,XLE FWD,Celestial Silver Metallic,42020,0.0,42020.0,Factory to port,False,,5TDKDRAH0PS39E083,AutoNation Toyota Mall of Georgia,GA
2023,XLE FWD,Celestial Silver Metallic,42020,0.0,42020.0,Factory to port,False,Available,5TDKDRAH0PS39E102,Rick Hendrick Toyota Sandy Springs,GA
2023,XLE FWD,Moon Dust,42020,0.0,42020.0,Factory to port,False,,5TDKDRAH0PS39E262,Courtesy Toyota,FL
2023, L FWD,Wind Chill Pearl,36620,0.0,36620.0,Factory to port,False,Available,5TDKDRAH0PS39E343,Nalley Toyota Union City,GA
2023,XLE FWD,Celestial Silver Metallic,42020,0.0,42020.0,Factory to port,False,,5TDKDRAH0PS39E617,Lipton Toyota,FL
2023,XLE FWD,Magnetic Gray Metallic,42020,0.0,42020.0,Factory to port,False,Available,5TDKDRAH0PS39E763,Hendrick Toyota Apex,NC
2023,XLE FWD,Wind Chill Pearl,42020,0.0,42020.0,Factory to port,False,Available,5TDKDRAH0PS39E830,Leith Toyota,NC
2023,XLE FWD,Magnetic Gray Metallic,42020,2385.0,44405.0,Factory to port,False,,5TDKDRAH0PS39E875,Thousand Oaks Toyota,CA
2023,XLE FWD,Moon Dust,42020,0.0,42020.0,Factory to port,False,,5TDKDRAH0PS39E908,AutoNation Toyota Thornton Road,GA
