Year,Model,Color,Base MSRP,Markup,Dealer Price,Shipping Status,Pre-Sold,Hold Status,VIN,Dealer,Dealer State
2023,Highlander  Hybrid Bronze Edition FWD,Midnight Black Metallic,46380,0.0,46380.0,At dealer,False,,5TDAARAH0PS022324,Claremont Toyota,CA
2023,Highlander  Hybrid Bronze Edition FWD,Midnight Black Metallic,46380,0.0,46380.0,At dealer,False,Available,5TDAARAH0PS022355,TeamOne Toyota of Gadsden,AL
2023,Highlander  Hybrid Bronze Edition FWD,Wind Chill Pearl,46380,0.0,46380.0,At dealer,False,Available,5TDAARAH0PS022629,Stone Mountain Toyota,GA
2023,Highlander  Hybrid Bronze Edition FWD,Midnight Black Metallic,46380,0.0,46380.0,Factory to port,False,Available,5TDAARAH0PS40E941,Toyota of Rock Hill,SC
2023,Highlander  Hybrid Bronze Edition FWD,Cement,46380,2098.0,48478.0,Factory to port,True,DealerHold,5TDAARAH0PS41E515,Toyota of Surprise,AZ
2023,Highlander  Hybrid Bronze Edition FWD,Cement,46380,0.0,46380.0,Factory to port,False,,5TDAARAH0PS42F353,Lowe Toyota of Warner Robins,GA
2023,Highlander  Hybrid Bronze Edition FWD,Cement,46380,0.0,46380.0,Factory to port,False,Available,5TDAARAH0PS42F577,Toyota of Dothan,AL
2023,Highlander  Hybrid Bronze Edition FWD,Cement,46380,0.0,46380.0,Port to dealer,False,,5TDAARAH0PS527585,Camelback Toyota,AZ
2023,Highlander  Hybrid Bronze Edition FWD,Midnight Black Metallic,46380,0.0,46380.0,Factory to port,True,DealerHold,5TDAARAH0PS527599,Toyota of Mt. Pleasant,TX
2023,Highlander  Hybrid Bronze Edition FWD,Wind Chill Pearl,46380,0.0,46380.0,Factory to port,False,Available,5TDAARAH0PS527666,Mike Shaw Toyota,TX
2023,Highlander  Hybrid Bronze Edition FWD,Wind Chill Pearl,46380,0.0,46380.0,Port to dealer,False,,5TDAARAH0PS527781,Camelback Toyota,AZ
2023,Highlander  Hybrid Bronze Edition FWD,Midnight Black Metallic,46380,0.0,46380.0,At dealer,False,,5TDAARAH1PS022591,Miracle Toyota,FL
2023,Highlander  Hybrid Bronze Edition FWD,Midnight Black Metallic,46380,0.0,46380.0,At dealer,False,Available,5TDAARAH1PS022641,Bob Tyler Toyota,FL
2023,Highlander  Hybrid Bronze Edition FWD,Midnight Black Metallic,46380,0.0,46380.0,At dealer,False,DealerHold,5TDAARAH1PS022736,Sunny King Toyota,AL
2023,Highlander  Hybrid Bronze Edition FWD,Midnight Black Metallic,46380,0.0,46380.0,Factory to port,False,,5TDAARAH1PS40E110,Rick Hendrick Toyota,NC
2023,Highlander  Hybrid Bronze Edition FWD,Cement,46380,0.0,46380.0,Factory to port,False,,5TDAARAH1PS41F298,Beaver Toyota of Cumming,GA
2023,Highlander  Hybrid Bronze Edition FWD,Midnight Black Metallic,46380,0.0,46380.0,Factory to port,False,,5TDAARAH1PS41F494,Milton Martin Toyota,GA
2023,Highlander  Hybrid Bronze Edition FWD,Cement,46380,0.0,46380.0,At dealer,False,DealerHold,5TDAARAH1PS527451,Toyota of Greensboro,NC
2023,Highlander  Hybrid Bronze Edition FWD,Cement,46380,0.0,46380.0,At dealer,False,,5TDAARAH1PS527465,AutoNation Toyota Weston,FL
2023,Highlander  Hybrid Bronze Edition FWD,Midnight Black Metallic,46380,0.0,46380.0,Port to dealer,True,DealerHold,5TDAARAH2PS022843,Freeman Toyota,CA
2023,Highlander  Hybrid Bronze Edition FWD,Midnight Black Metallic,46380,0.0,46380.0,Factory to port,False,,5TDAARAH2PS40D791,Hendrick Toyota North Charleston,SC
2023,Highlander  Hybrid Bronze Edition FWD,Cement,46380,0.0,46380.0,Factory to port,False,Available,5TDAARAH2PS40F170,Hubert Vester Toyota of Wilson,NC
2023,Highlander  Hybrid Bronze Edition FWD,Wind Chill Pearl,46380,0.0,46380.0,Factory to port,False,Available,5TDAARAH2PS41E371,AutoNation Toyota Thornton Road,GA
2023,Highlander  Hybrid Bronze Edition FWD,Midnight Black Metallic,46380,0.0,46380.0,Factory to port,False,Available,5TDAARAH2PS42F287,AutoNation Toyota Mall of Georgia,GA
2023,Highlander  Hybrid Bronze Edition FWD,Cement,46380,0.0,46380.0,At dealer,False,Available,5TDAARAH2PS527474,Toyota of Vero Beach,FL
2023,Highlander  Hybrid Bronze Edition FWD,Cement,46380,0.0,46380.0,Port to dealer,True,DealerHold,5TDAARAH2PS527586,Precision Toyota of Tucson,AZ
2023,Highlander  Hybrid Bronze Edition FWD,Cement,46380,0.0,46380.0,Factory to port,True,DealerHold,5TDAARAH2PS527667,Classic Toyota of Texoma,TX
