Year,Model,Color,Base MSRP,Markup,Dealer Price,Shipping Status,Pre-Sold,Hold Status,VIN,Dealer,Dealer State
2023,XLE FWD,Wind Chill Pearl,30895,499.0,31394.0,Factory to port,False,DealerHold,JTDACAAU0P134BM60,Toyota San Luis Obispo,CA
2023,LE FWD,Guardian Gray,27450,0.0,27450.0,Factory to port,False,,JTDACAAU0P134CZ64,Toyota of Fox Lake,IL
2023,XLE FWD,Wind Chill Pearl,30895,0.0,30895.0,Factory to port,False,,JTDACAAU0P135BV21,Thousand Oaks Toyota,CA
2023,XLE FWD,Midnight Black Metallic,30895,4173.0,35068.0,Factory to port,False,,JTDACAAU0P135BV52,AutoNation Toyota Irvine,CA
2023,Limited FWD,Wind Chill Pearl,34465,0.0,34465.0,Factory to port,False,,JTDACAAU0P135CD12,Stevens Creek Toyota,CA
2023,LE FWD,Guardian Gray,27450,0.0,27450.0,Factory to port,True,,JTDACAAU0P135CM74,Stephen Wade Toyota,UT
2023,Limited FWD,Midnight Black Metallic,34465,0.0,34465.0,At dealer,False,DealerHold,JTDACAAU0P3006859,Olathe Toyota,KS
2023,Limited FWD,Midnight Black Metallic,34465,0.0,34465.0,At dealer,False,DealerHold,JTDACAAU0P3007459,Lloyds Toyota,ND
2023,XLE FWD,Wind Chill Pearl,30895,0.0,30895.0,At dealer,False,Available,JTDACAAU0P3009194,Koons Easton Toyota,MD
2023,Limited FWD,Wind Chill Pearl,34465,0.0,34465.0,Port to dealer,True,,JTDACAAU0P3009888,Toyota of Des Moines,IA
2023,XLE FWD,Wind Chill Pearl,30895,0.0,30895.0,At dealer,False,DealerHold,JTDACAAU0P3010538,Toyota of Selma,CA
2023,Limited FWD,Cutting Edge,34465,0.0,34465.0,At dealer,False,,JTDACAAU0P3010541,Baxter Toyota of Lincoln,NE
2023,Limited FWD,Guardian Gray,34465,0.0,34465.0,Port to dealer,False,DealerHold,JTDACAAU0P3010586,Village Pointe Toyota,NE
2023,Limited FWD,Reservoir Blue,34465,0.0,34465.0,Port to dealer,False,DealerHold,JTDACAAU0P3010667,Jay Wolfe Toyota of West County,MO
2023,Limited FWD,Reservoir Blue,34465,0.0,34465.0,Port to dealer,False,DealerHold,JTDACAAU0P3011141,Bommarito Toyota,MO
2023,Limited FWD,Wind Chill Pearl,34465,0.0,34465.0,Port to dealer,False,DealerHold,JTDACAAU0P3011219,Coad Toyota,MO
2023,XLE FWD,Supersonic Red,30895,0.0,30895.0,Port to dealer,False,DealerHold,JTDACAAU0P3011317,Crown Toyota,KS
2023,XLE FWD,Midnight Black Metallic,30895,0.0,30895.0,At dealer,False,,JTDACAAU0P3011544,Koons Easton Toyota,MD
2023,Limited FWD,Guardian Gray,34465,0.0,34465.0,Port to dealer,False,,JTDACAAU0P3011642,Baxter Toyota of Lincoln,NE
2023,XLE FWD,Wind Chill Pearl,30895,0.0,30895.0,Port to dealer,True,DealerHold,JTDACAAU0P3011656,Gosch Toyota,CA
2023,LE FWD,Wind Chill Pearl,27450,0.0,27450.0,Port to dealer,False,DealerHold,JTDACAAU0P3011818,Gloucester Toyota,VA
2023,XLE FWD,Guardian Gray,30895,0.0,30895.0,At dealer,False,DealerHold,JTDACAAU0P3011835,Toyota of Selma,CA
2023,LE FWD,Midnight Black Metallic,27450,0.0,27450.0,At dealer,False,,JTDACAAU0P3011852,Bill Page Toyota,VA
2023,XLE FWD,Reservoir Blue,30895,0.0,30895.0,Port to dealer,False,DealerHold,JTDACAAU0P3011964,Glockner Toyota,OH
2023,Limited FWD,Wind Chill Pearl,34465,0.0,34465.0,Port to dealer,False,DealerHold,JTDACAAU0P3012029,Findlay Toyota,NV
2023,XLE FWD,Wind Chill Pearl,30895,0.0,30895.0,At dealer,False,DealerHold,JTDACAAU0P3012063,Temecula Valley Toyota,CA
2023,LE FWD,Supersonic Red,27450,0.0,27450.0,Port to dealer,True,DealerHold,JTDACAAU0P3012080,Toyota Chula Vista,CA
2023,XLE FWD,Supersonic Red,30895,0.0,30895.0,Port to dealer,True,DealerHold,JTDACAAU0P3012113,"Pedersen Toyota, Ltd.",CO
2023,LE FWD,Cutting Edge,27450,0.0,27450.0,Port to dealer,False,DealerHold,JTDACAAU0P3012158,Manhattan Beach Toyota,CA
2023,LE FWD,Cutting Edge,27450,0.0,27450.0,Port to dealer,True,DealerHold,JTDACAAU0P3012161,Toyota of Santa Maria,CA
2023,LE FWD,GUARDIAN GRAY,27450,0.0,27450.0,Factory to port,True,Available,JTDACAAU0P3012211,Carlock Toyota of Tupelo,MS
