Year,Model,Color,Base MSRP,Markup,Dealer Price,Shipping Status,Pre-Sold,Hold Status,VIN,Dealer,Dealer State
2023,XSE Premium FWD,Cutting Edge,39170,0.0,39170.0,Port to dealer,True,DealerHold,JTDACACU0P3008799,Mountain States Toyota,CO
2023,XSE FWD,Guardian Gray,35600,0.0,35600.0,At dealer,False,Available,JTDACACU0P3009418,Johnstons Toyota,NY
2023,XSE FWD,Wind Chill Pearl,35600,0.0,35600.0,At dealer,False,,JTDACACU0P3009550,Johnstons Toyota,NY
2023,XSE FWD,Wind Chill Pearl,35600,0.0,35600.0,At dealer,False,Available,JTDACACU0P3010097,Riverhead Toyota,NY
2023,XSE Premium FWD,Supersonic Red,39170,0.0,39170.0,Factory to port,False,DealerHold,JTDACACU0P3010424,Fox Toyota,NY
2023,XSE Premium FWD,CUTTING EDGE,39170,0.0,39170.0,Factory to port,False,DealerHold,JTDACACU0P3010679,Gene Messer Toyota,TX
2023,XSE Premium FWD,Midnight Black Metallic,39170,0.0,39170.0,At dealer,True,DealerHold,JTDACACU1P3006611,DARCARS Toyota of Frederick,MD
2023,XSE Premium FWD,Guardian Gray,39170,0.0,39170.0,At dealer,False,DealerHold,JTDACACU1P3009315,Del Toyota,PA
2023,XSE Premium FWD,Midnight Black Metallic,39170,0.0,39170.0,At dealer,True,DealerHold,JTDACACU1P3009590,Empire Toyota,NY
2023,XSE Premium FWD,Wind Chill Pearl,39170,0.0,39170.0,At dealer,False,Available,JTDACACU1P3009654,Herb Chambers Toyota of Auburn,MA
2023,XSE FWD,Cutting Edge,35600,0.0,35600.0,At dealer,False,DealerHold,JTDACACU1P3009718,West Herr Toyota of Williamsville,NY
2023,XSE Premium FWD,Reservoir Blue,39170,0.0,39170.0,Port to dealer,False,,JTDACACU1P3009931,Toyota of Greenwich,CT
2023,XSE Premium FWD,Guardian Gray,39170,0.0,39170.0,At dealer,False,,JTDACACU1P3010187,Smithtown Toyota,NY
2023,XSE Premium FWD,Cutting Edge,39170,1790.0,40960.0,At dealer,False,,JTDACACU1P3010299,Liberty Toyota,NJ
2023,XSE FWD,Wind Chill Pearl,35600,0.0,35600.0,Port to dealer,False,DealerHold,JTDACACU1P3010318,Colonial Toyota,CT
2023,XSE FWD,Guardian Gray,35600,0.0,35600.0,At dealer,False,Available,JTDACACU2P3006231,Dowling Toyota of Litchfield,CT
2023,XSE FWD,Midnight Black Metallic,35600,0.0,35600.0,At dealer,False,Available,JTDACACU2P3006438,York Toyota,ME
2023,XSE FWD,Guardian Gray,35600,0.0,35600.0,Port to dealer,False,DealerHold,JTDACACU2P3007914,Torrington Toyota,CT
2023,XSE FWD,Supersonic Red,35600,0.0,35600.0,At dealer,False,DealerHold,JTDACACU2P3008318,McGee Toyota,MA
2023,XSE FWD,Midnight Black Metallic,35600,0.0,35600.0,At dealer,False,DealerHold,JTDACACU2P3009839,Imperial Toyota,MA
2023,XSE FWD,Wind Chill Pearl,35600,0.0,35600.0,At dealer,False,DealerHold,JTDACACU2P3009937,Toyota of Runnemede,NJ
2023,XSE FWD,Wind Chill Pearl,35600,0.0,35600.0,At dealer,False,Available,JTDACACU2P3010053,Sloane Toyota of Philadelphia,PA
2023,XSE Premium FWD,Midnight Black Metallic,39170,0.0,39170.0,At dealer,False,DealerHold,JTDACACU2P3010103,Jim Coleman Toyota,MD
2023,XSE FWD,Supersonic Red,35600,0.0,35600.0,At dealer,False,DealerHold,JTDACACU2P3010215,Galaxy Toyota,NJ
2023,XSE FWD,Guardian Gray,35600,0.0,35600.0,At dealer,True,DealerHold,JTDACACU2P3010313,Northway Toyota,NY
2023,XSE FWD,Cutting Edge,35600,989.0,36589.0,At dealer,False,,JTDACACU2P3010330,Dayton Toyota,NJ
2023,XSE Premium FWD,Supersonic Red,39170,0.0,39170.0,At dealer,False,DealerHold,JTDACACU3P3006688,Romeo Toyota of Glens Falls,NY
2023,XSE Premium FWD,Midnight Black Metallic,39170,0.0,39170.0,At dealer,False,Available,JTDACACU3P3007503,Holman Toyota,NJ
2023,XSE FWD,Cutting Edge,35600,0.0,35600.0,At dealer,False,DealerHold,JTDACACU3P3008540,Parkway Toyota,NJ
2023,XSE FWD,Wind Chill Pearl,35600,0.0,35600.0,At dealer,False,DealerHold,JTDACACU3P3009963,Fred Beans Toyota of Flemington,NJ
2023,XSE Premium FWD,Supersonic Red,39170,0.0,39170.0,Port to dealer,False,DealerHold,JTDACACU3P3010045,Jay Wolfe Toyota,MO
2023,XSE FWD,Midnight Black Metallic,35600,0.0,35600.0,At dealer,False,DealerHold,JTDACACU3P3010241,Romeo Toyota of Glens Falls,NY
2023,XSE FWD,Guardian Gray,35600,0.0,35600.0,Port to dealer,False,DealerHold,JTDACACU3P3010286,Middletown Toyota,CT
2023,XSE FWD,Supersonic Red,35600,0.0,35600.0,Port to dealer,False,DealerHold,JTDACACU3P3010305,Sheehy Toyota of Laurel,MD
2023,XSE FWD,Guardian Gray,35600,0.0,35600.0,Port to dealer,False,DealerHold,JTDACACU3P3010398,Romeo Toyota of Glens Falls,NY
2023,XSE FWD,Wind Chill Pearl,35600,0.0,35600.0,At dealer,False,DealerHold,JTDACACU3P3010403,Pohanka Toyota of Salisbury,MD
2023,XSE FWD,Cutting Edge,35600,0.0,35600.0,At dealer,False,,JTDACACU4P3008787,"Glen Motors, Inc.",NJ
2023,XSE FWD,Guardian Gray,35600,0.0,35600.0,At dealer,False,,JTDACACU4P3009163,New Country Toyota of Westport,CT
2023,XSE Premium FWD,Wind Chill Pearl,39170,0.0,39170.0,At dealer,False,DealerHold,JTDACACU4P3009602,Toyota World of Clinton,NJ
2023,XSE Premium FWD,Cutting Edge,39170,0.0,39170.0,At dealer,False,Available,JTDACACU4P3009678,Koons Westminster Toyota,MD
2023,XSE FWD,Guardian Gray,35600,0.0,35600.0,At dealer,False,,JTDACACU4P3009731,City World Toyota,NY
2023,XSE FWD,Wind Chill Pearl,35600,0.0,35600.0,Port to dealer,True,DealerHold,JTDACACU4P3010362,Grappone Toyota,NH
2023,XSE Premium FWD,Midnight Black Metallic,39170,0.0,39170.0,Port to dealer,False,Available,JTDACACU4P3010376,Younger Toyota,MD
2023,XSE FWD,Guardian Gray,35600,0.0,35600.0,Port to dealer,True,DealerHold,JTDACACU4P3010409,Northway Toyota,NY
2023,XSE FWD,Wind Chill Pearl,35600,0.0,35600.0,Factory to port,True,DealerHold,JTDACACU4P3010426,Northtown Toyota,NY
2023,XSE Premium FWD,Wind Chill Pearl,39170,0.0,39170.0,Port to dealer,False,Available,JTDACACU4P3010510,Riverhead Toyota,NY
2023,XSE Premium FWD,Supersonic Red,39170,0.0,39170.0,At dealer,False,DealerHold,JTDACACU4P3010569,Sheehy Toyota of Laurel,MD
2023,XSE FWD,Cutting Edge,35600,0.0,35600.0,At dealer,False,DealerHold,JTDACACU4P3010605,Toyota of Hackensack,NJ
2023,XSE Premium FWD,Guardian Gray,39170,0.0,39170.0,At dealer,False,Available,JTDACACU5P3006692,Gault Toyota,NY
