Year,Model,Color,Base MSRP,Markup,Dealer Price,Shipping Status,Pre-Sold,Hold Status,VIN,Dealer,Dealer State
2023,XLE Premium AWD,Magnetic Gray Metallic,34075,0.0,34075.0,Factory to port,True,,2T3A1RFV0PC35D956,Toyota of Des Moines,IA
2023,XLE Premium AWD,Magnetic Gray Metallic,34075,395.0,34470.0,Factory to port,False,,2T3A1RFV0PC35E086,Billion Toyota,SD
2023,XLE Premium AWD,Magnetic Gray Metallic,34075,0.0,34075.0,Factory to port,False,,2T3A1RFV0PC35G193,Elgin Toyota,IL
2023,XLE Premium AWD,Silver Sky Metallic,34075,0.0,34075.0,Factory to port,False,Available,2T3A1RFV0PC35G260,Stephen Toyota,CT
2023,XLE Premium AWD,Magnetic Gray Metallic,34075,3397.0,37472.0,Factory to port,False,,2T3A1RFV0PC35G291,Toyota of Portland on Broadway,OR
2023,XLE Premium AWD,Midnight Black Metallic,34075,0.0,34075.0,Factory to port,True,DealerHold,2T3A1RFV0PC35I641,Tansky Sawmill Toyota,OH
2023,XLE Premium AWD,Magnetic Gray Metallic,34075,0.0,34075.0,Factory to port,False,,2T3A1RFV0PC36D631,Town & Country Toyota,NC
2023,XLE Premium AWD,Silver Sky Metallic,34075,0.0,34075.0,Factory to port,False,,2T3A1RFV0PC36F038,Ardmore Toyota,PA
2023,XLE Premium AWD,Magnetic Gray Metallic,34075,299.0,34374.0,Factory to port,True,,2T3A1RFV0PC36G092,Team Toyota,PA
2023,XLE Premium AWD,Magnetic Gray Metallic,34075,2594.0,36669.0,Factory to port,False,,2T3A1RFV0PC36G142,Hudson Toyota,NJ
2023,XLE Premium AWD,Midnight Black Metallic,34075,0.0,34075.0,Factory to port,False,,2T3A1RFV0PC36G271,DCH Brunswick Toyota,NJ
2023,XLE Premium AWD,Magnetic Gray Metallic,34075,0.0,34075.0,Factory to port,False,Available,2T3A1RFV0PC36G285,Romano Toyota,NY
2023,XLE Premium AWD,Magnetic Gray Metallic,34075,0.0,34075.0,Factory to port,False,,2T3A1RFV0PC36G917,Wilson Toyota,IA
2023,XLE Premium AWD,Magnetic Gray Metallic,34075,0.0,34075.0,Factory to port,False,,2T3A1RFV0PC36H209,Dan Cava's Toyota World,WV
2023,XLE Premium AWD,Magnetic Gray Metallic,34075,0.0,34075.0,At dealer,False,DealerHold,2T3A1RFV0PC374088,Toyota of York,PA
2023,XLE Premium AWD,Magnetic Gray Metallic,34075,0.0,34075.0,At dealer,False,DealerHold,2T3A1RFV0PC375631,Koons Tysons Toyota,VA
2023,XLE Premium AWD,Magnetic Gray Metallic,34075,0.0,34075.0,Port to dealer,False,,2T3A1RFV0PC376939,Ball Toyota of Charleston,WV
