Year,Model,Color,Base MSRP,Markup,Dealer Price,Shipping Status,Pre-Sold,Hold Status,VIN,Dealer,Dealer State
2023,SE AWD,Blueprint,43090,0.0,43090.0,At dealer,False,DealerHold,JTMAB3FV0PD138336,Tufankjian Toyota of Braintree,MA
2023,SE AWD,Magnetic Gray Metallic,43090,0.0,43090.0,At dealer,False,,JTMAB3FV0PD140474,Bill Kidd's Timonium Toyota,MD
2023,SE AWD,Supersonic Red,43090,0.0,43090.0,At dealer,False,,JTMAB3FV0PD140586,Toyota of Bowie,MD
2023,SE AWD,Silver Sky Metallic,43090,0.0,43090.0,At dealer,False,Available,JTMAB3FV0PD140717,Jaffarian Toyota,MA
2023,SE AWD,Supersonic Red,43090,0.0,43090.0,Port to dealer,False,DealerHold,JTMAB3FV0PD140829,Jim Coleman Toyota,MD
2023,SE AWD,Supersonic Red,43090,0.0,43090.0,At dealer,False,Available,JTMAB3FV0PD143472,Toyota of Dartmouth,MA
2023,SE AWD,Ice Cap,43090,0.0,43090.0,At dealer,False,Available,JTMAB3FV0PD144167,Herb Chambers Toyota of Boston,MA
2023,SE AWD,Magnetic Gray Metallic,43090,0.0,43090.0,At dealer,False,Available,JTMAB3FV0PD144590,"Hellman Toyota, Inc.",CO
2023,SE AWD,Silver Sky Metallic,43090,2594.0,45684.0,At dealer,False,,JTMAB3FV0PD145867,Hudson Toyota,NJ
2023,SE AWD,Midnight Black Metallic,43090,0.0,43090.0,At dealer,False,,JTMAB3FV0PD146159,Kendall Toyota,OR
2023,SE AWD,Magnetic Gray Metallic,43090,0.0,43090.0,At dealer,False,,JTMAB3FV0PD146498,Basil Toyota,NY
2023,SE AWD,Blueprint,43090,0.0,43090.0,At dealer,False,Available,JTMAB3FV0PD146503,Motorworld Toyota,PA
2023,SE AWD,Blueprint,43090,0.0,43090.0,At dealer,False,Available,JTMAB3FV0PD146954,West Coast Toyota of Long Beach,CA
2023,SE AWD,Supersonic Red,43090,0.0,43090.0,At dealer,False,DealerHold,JTMAB3FV0PD147196,Fremont Toyota,CA
2023,SE AWD,Midnight Black Metallic,43090,0.0,43090.0,At dealer,False,,JTMAB3FV0PD148316,Ira Toyota,MA
2023,SE AWD,Blueprint,43090,0.0,43090.0,At dealer,False,,JTMAB3FV0PD148669,Atlantic Toyota,NY
2023,SE AWD,Magnetic Gray Metallic,43090,0.0,43090.0,At dealer,False,,JTMAB3FV0PD148686,WOW Toyota of Wallingford,CT
2023,SE AWD,Supersonic Red,43090,0.0,43090.0,At dealer,False,DealerHold,JTMAB3FV0PD148865,Luv Toyota,NY
2023,SE AWD,Silver Sky Metallic,43090,0.0,43090.0,At dealer,False,,JTMAB3FV0PD148901,Manhattan Beach Toyota,CA
2023,SE AWD,Magnetic Gray Metallic,43090,3180.0,46270.0,At dealer,False,,JTMAB3FV0PD148977,Kearny Mesa Toyota,CA
2023,SE AWD,Supersonic Red,43090,7282.0,50372.0,At dealer,False,DealerHold,JTMAB3FV0PD149451,Toyota of Kirkland,WA
2023,SE AWD,Blueprint,43090,0.0,43090.0,At dealer,False,,JTMAB3FV0PD149577,Toyota of Riverside,CA
2023,SE AWD,Ice Cap,43090,0.0,43090.0,Port to dealer,False,Available,JTMAB3FV0PD150051,West Herr Toyota of Canandaigua,NY
2023,SE AWD,Silver Sky Metallic,43090,0.0,43090.0,At dealer,False,,JTMAB3FV0PD150101,Valenti Toyota,RI
2023,SE AWD,Midnight Black Metallic,43090,0.0,43090.0,At dealer,False,,JTMAB3FV0PD150132,Temecula Valley Toyota,CA
2023,SE AWD,Ice Cap,43090,0.0,43090.0,Factory to port,False,,JTMAB3FV0PD150275,Paul Miller Toyota of West Caldwell,NJ
2023,SE AWD,Ice Cap,43090,0.0,43090.0,Factory to port,False,,JTMAB3FV0PD150292,Waite Toyota,NY
2023,SE AWD,Ice Cap,43090,0.0,43090.0,Factory to port,False,,JTMAB3FV0PD150308,Romano Toyota,NY
2023,SE AWD,Ice Cap,43090,0.0,43090.0,Factory to port,False,,JTMAB3FV0PD150311,"Glen Motors, Inc.",NJ
2023,SE AWD,Ice Cap,43090,0.0,43090.0,Factory to port,False,,JTMAB3FV0PD150356,Acton Toyota of Littleton,MA
2023,SE AWD,Supersonic Red,43090,0.0,43090.0,Factory to port,False,,JTMAB3FV0PD150440,Hillside Toyota,NY
2023,SE AWD,Magnetic Gray Metallic,43090,0.0,43090.0,At dealer,False,,JTMAB3FV0PD150504,Claremont Toyota,CA
2023,SE AWD,Ice Cap,43090,0.0,43090.0,Factory to port,False,,JTMAB3FV0PD150521,Prestige Toyota of Ramsey,NJ
2023,SE AWD,Silver Sky Metallic,43090,0.0,43090.0,At dealer,False,,JTMAB3FV0PD150695,Temecula Valley Toyota,CA
2023,SE AWD,Silver Sky Metallic,43090,0.0,43090.0,At dealer,False,,JTMAB3FV0PD150843,Grieco Toyota,RI
2023,SE AWD,Ice Cap,43090,7282.0,50372.0,At dealer,False,DealerHold,JTMAB3FV0PD151037,Toyota of Kirkland,WA
2023,SE AWD,Ice Cap,43090,0.0,43090.0,Port to dealer,False,,JTMAB3FV0PD151149,Atlantic Toyota,MA
2023,SE AWD,Silver Sky Metallic,43090,1290.0,44380.0,Port to dealer,False,,JTMAB3FV0PD151183,Toyota of Redlands,CA
2023,SE AWD,Ice Cap,43090,0.0,43090.0,Port to dealer,False,,JTMAB3FV0PD151264,Prestige Toyota of Ramsey,NJ
2023,SE AWD,Ice Cap,43090,0.0,43090.0,Port to dealer,False,,JTMAB3FV0PD151281,Parkway Toyota,NJ
2023,SE AWD,Silver Sky Metallic,43090,0.0,43090.0,At dealer,False,DealerHold,JTMAB3FV0PD151300,Imperial Toyota,MA
2023,SE AWD,Ice Cap,43090,0.0,43090.0,At dealer,False,,JTMAB3FV0PD151331,Fitzgerald Toyota Gaithersburg,MD
2023,SE AWD,Supersonic Red,43090,0.0,43090.0,Port to dealer,False,DealerHold,JTMAB3FV0PD151409,Seeger Toyota,MO
