Year,Model,Color,Base MSRP,Markup,Dealer Price,Shipping Status,Pre-Sold,Hold Status,VIN,Dealer,Dealer State
2023,Limited 4x2,Wind Chill Pearl,66265,0.0,66265.0,Factory to port,False,Available,7SVAAAAA0PX002174,Toyota of Tampa Bay,FL
2023,Platinum 4x2,Celestial Silver Metallic,72465,0.0,72465.0,Factory to port,False,Available,7SVAAAAA0PX002398,Toyota of Vero Beach,FL
2023,Platinum 4x2,Midnight Black Metallic,72465,0.0,72465.0,At dealer,False,Available,7SVAAAAA0PX002451,Greenville Toyota,NC
2023,Platinum 4x2,Wind Chill Pearl,72465,0.0,72465.0,At dealer,False,DealerHold,7SVAAAAA0PX002479,Walker-Jones Toyota,GA
2023,Platinum 4x2,Supersonic Red,72465,0.0,72465.0,Factory to port,False,DealerHold,7SVAAAAA0PX28E479,Beaver Toyota of Cumming,GA
2023,Platinum 4x2,Celestial Silver Metallic,72465,0.0,72465.0,At dealer,False,Available,7SVAAAAA1PX002376,DeLuca Toyota,FL
2023,Platinum 4x2,Celestial Silver Metallic,72465,0.0,72465.0,At dealer,False,Available,7SVAAAAA1PX002409,Fred Anderson Toyota of Charleston,SC
2023,Platinum 4x2,Magnetic Gray Metallic,72465,0.0,72465.0,At dealer,False,Available,7SVAAAAA1PX002457,Cherokee County Toyota,GA
2023,Platinum 4x2,Magnetic Gray Metallic,72465,0.0,72465.0,At dealer,False,Available,7SVAAAAA1PX002460,Parks Toyota of Deland,FL
2023,Limited 4x2,Wind Chill Pearl,66265,2391.0,68656.0,Factory to port,True,DealerHold,7SVAAAAA1PX21B797,Lake Charles Toyota,LA
2023,Platinum 4x2,Wind Chill Pearl,72465,0.0,72465.0,Factory to port,False,Available,7SVAAAAA1PX30F176,Greenville Toyota,NC
2023,Platinum 4x2,Wind Chill Pearl,72465,0.0,72465.0,Factory to port,True,DealerHold,7SVAAAAA2PX002368,Sunny King Toyota,AL
2023,Capstone 4x2,Supersonic Red,76865,0.0,76865.0,At dealer,False,Available,7SVAAAAA2PX002418,Palmer's Airport Toyota,AL
2023,Platinum 4x2,Blueprint,72465,0.0,72465.0,Factory to port,False,Available,7SVAAAAA2PX002449,Central Florida Toyota,FL
2023,Capstone 4x2,Celestial Silver Metallic,76865,0.0,76865.0,Factory to port,False,Available,7SVAAAAA2PX28E516,TeamOne Toyota of Gadsden,AL
2023,Capstone 4x2,Wind Chill Pearl,76865,0.0,76865.0,At dealer,False,Available,7SVAAAAA3PX002251,Jim Hudson Toyota,SC
2023,Platinum 4x2,Magnetic Gray Metallic,72465,0.0,72465.0,Factory to port,False,DealerHold,7SVAAAAA3PX002394,Atlanta Toyota,GA
2023,Platinum 4x2,Magnetic Gray Metallic,72465,0.0,72465.0,Factory to port,False,DealerHold,7SVAAAAA4PX002405,Courtesy Toyota,FL
2023,Platinum 4x2,Magnetic Gray Metallic,72465,0.0,72465.0,At dealer,False,Available,7SVAAAAA4PX002422,Central Florida Toyota,FL
2023,Limited 4x2,Supersonic Red,66265,0.0,66265.0,Factory to port,False,Available,7SVAAAAA4PX21B857,Modern Toyota,NC
2023,Capstone 4x2,Supersonic Red,76865,3999.0,80864.0,At dealer,False,Available,7SVAAAAA5PX002168,Karl Malone Toyota of Ruston,LA
2023,Platinum 4x2,Blueprint,72465,0.0,72465.0,Factory to port,False,Available,7SVAAAAA5PX002431,Hendrick Toyota Wilmington,NC
2023,Platinum 4x2,Magnetic Gray Metallic,72465,0.0,72465.0,Factory to port,False,Available,7SVAAAAA5PX002445,Fred Anderson Toyota of Charleston,SC
2023,Platinum 4x2,Midnight Black Metallic,72465,1098.0,73563.0,At dealer,True,Available,7SVAAAAA6PX002275,Toyota of Cedar Park,TX
2023,Capstone 4x2,Supersonic Red,76865,0.0,76865.0,Factory to port,False,,7SVAAAAA6PX002325,Mike Erdman Toyota,FL
2023,Capstone 4x2,Midnight Black Metallic,76865,0.0,76865.0,Factory to port,False,Available,7SVAAAAA6PX002406,Eastern Shore Toyota,AL
2023,Platinum 4x2,Celestial Silver Metallic,72465,0.0,72465.0,At dealer,False,Available,7SVAAAAA6PX002437,AutoNation Toyota Gulf Freeway,TX
2023,Platinum 4x2,Magnetic Gray Metallic,72465,0.0,72465.0,At dealer,False,Available,7SVAAAAA6PX002440,Mark Jacobson Toyota,NC
2023,Platinum 4x2,Wind Chill Pearl,72465,0.0,72465.0,Factory to port,True,DealerHold,7SVAAAAA6PX26A557,Greg Leblanc Toyota,LA
2023,Platinum 4x2,Midnight Black Metallic,72465,0.0,72465.0,Factory to port,False,Available,7SVAAAAA6PX30E492,Lakeland Toyota,FL
2023,Capstone 4x2,Magnetic Gray Metallic,76865,0.0,76865.0,At dealer,False,,7SVAAAAA7PX002320,World Toyota,GA
2023,Capstone 4x2,Celestial Silver Metallic,76865,0.0,76865.0,At dealer,False,Available,7SVAAAAA7PX002348,Mike Shaw Toyota,TX
2023,Limited 4x2,Supersonic Red,66265,0.0,66265.0,At dealer,False,Available,7SVAAAAA7PX002351,Village Cadillac-Toyota,FL
2023,Limited 4x2,Magnetic Gray Metallic,66265,0.0,66265.0,At dealer,False,Available,7SVAAAAA7PX002396,Cox Toyota,NC
2024,Capstone 4x2,Midnight Black Metallic,77865,10000.0,87865.0,Factory to port,True,Available,7SVAAAAA7RX002496,Fred Haas Toyota Country,TX
2023,Capstone 4x2,Midnight Black Metallic,76865,0.0,76865.0,Port to dealer,False,,7SVAAAAA8PX002388,Toyota of Murfreesboro,TN
2023,Platinum 4x2,Midnight Black Metallic,72465,0.0,72465.0,At dealer,False,Available,7SVAAAAA8PX002410,Nalley Toyota of Roswell,GA
2023,Platinum 4x2,Magnetic Gray Metallic,72465,0.0,72465.0,Factory to port,False,Available,7SVAAAAA8PX21D403,North Georgia Toyota,GA
2023,Platinum 4x2,Celestial Silver Metallic,72465,0.0,72465.0,Factory to port,False,Available,7SVAAAAA8PX30C825,Toyota of Clermont,FL
2024,Platinum 4x2,Wind Chill Pearl,73465,0.0,73465.0,Factory to port,True,DealerHold,7SVAAAAA8RX002507,Oakes Toyota,MS
2023,Capstone 4x2,Wind Chill Pearl,76865,0.0,76865.0,L,False,Available,7SVAAAAA9PX001962,Toyota of Gastonia,NC
2023,Capstone 4x2,Celestial Silver Metallic,76865,0.0,76865.0,Factory to port,False,,7SVAAAAA9PX002304,AutoNation Toyota Winter Park,FL
2023,Platinum 4x2,Magnetic Gray Metallic,72465,0.0,72465.0,At dealer,False,Available,7SVAAAAA9PX002383,Toyota of Goldsboro,NC
2023,Platinum 4x2,Midnight Black Metallic,72465,0.0,72465.0,Factory to port,True,Available,7SVAAAAA9PX002478,Scott Clark Toyota,NC
2024,Limited 4x2,Smoked Mesquite,67275,1599.0,68874.0,Factory to port,False,DealerHold,7SVAAAAA9RX36D166,Silsbee Toyota,TX
2023,Capstone 4x2,Wind Chill Pearl,76865,0.0,76865.0,At dealer,False,DealerHold,7SVAAAAAXPX002098,Bondy's Enterprise Toyota,AL
2023,Limited 4x2,Celestial Silver Metallic,66265,10000.0,76265.0,At dealer,False,DealerHold,7SVAAAAAXPX002330,Gray-Daniels Toyota,MS
2023,Capstone 4x2,Magnetic Gray Metallic,76865,0.0,76865.0,At dealer,False,Available,7SVAAAAAXPX002375,AutoNation Toyota Thornton Road,GA
2023,Platinum 4x2,Magnetic Gray Metallic,72465,0.0,72465.0,At dealer,False,Available,7SVAAAAAXPX002389,Flow Toyota of Statesville,NC
2023,Platinum 4x2,Midnight Black Metallic,72465,0.0,72465.0,Factory to port,False,Available,7SVAAAAAXPX002411,Stone Mountain Toyota,GA
2023,Platinum 4x2,Wind Chill Pearl,72465,5895.0,78360.0,At dealer,False,DealerHold,7SVAAAAAXPX002442,Mike Calvert Toyota,TX
2023,Capstone 4x4,Magnetic Gray Metallic,78365,0.0,78365.0,At dealer,False,DealerHold,7SVAAABA0PX014422,355 Toyota,MD
2023,TRD Pro 4x4,Magnetic Gray Metallic,76065,0.0,76065.0,Factory to port,False,DealerHold,7SVAAABA0PX015103,Koons Easton Toyota,MD
2023,Capstone 4x4,Supersonic Red,79865,0.0,79865.0,At dealer,False,DealerHold,7SVAAABA0PX015408,Rick Collins Toyota,IA
2023,Capstone 4x4,Midnight Black Metallic,79865,0.0,79865.0,At dealer,False,Available,7SVAAABA0PX015456,Carlock Toyota of Tupelo,MS
2023,Platinum 4x4,Wind Chill Pearl,75465,0.0,75465.0,At dealer,False,DealerHold,7SVAAABA0PX015487,Koch 33 Toyota,PA
2023,Platinum 4x4,Magnetic Gray Metallic,75465,0.0,75465.0,At dealer,False,DealerHold,7SVAAABA0PX016798,Shepard Toyota,ME
2023,TRD Pro 4x4,Ice Cap,77565,0.0,77565.0,Port to dealer,False,DealerHold,7SVAAABA0PX016994,Toyota of Morristown,NJ
2023,Capstone 4x4,Wind Chill Pearl,79865,0.0,79865.0,At dealer,False,DealerHold,7SVAAABA0PX017269,Ciocca Toyota of Williamsport,PA
2023,TRD Pro 4x4,Solar Octane,77565,0.0,77565.0,At dealer,False,,7SVAAABA0PX017577,Toyota of Southern Maryland,MD
2023,Platinum 4x4,Magnetic Gray Metallic,75465,0.0,75465.0,At dealer,False,DealerHold,7SVAAABA0PX017854,Dick Hannah Toyota,WA
2023,TRD Pro 4x4,Ice Cap,77565,0.0,77565.0,At dealer,False,DealerHold,7SVAAABA0PX018101,"Molle Toyota, Inc.",MO
2023,Platinum 4x4,Wind Chill Pearl,75465,0.0,75465.0,At dealer,False,DealerHold,7SVAAABA0PX018163,Legends Toyota,KS
2023,TRD Pro 4x4,Midnight Black Metallic,77565,0.0,77565.0,Port to dealer,False,DealerHold,7SVAAABA0PX018308,Brewer Airport Toyota,PA
2023,Limited 4x4,Supersonic Red,69265,0.0,69265.0,Port to dealer,True,DealerHold,7SVAAABA0PX018499,Sheehy Toyota of Fredericksburg,VA
2023,Platinum 4x4,Supersonic Red,75465,0.0,75465.0,At dealer,False,DealerHold,7SVAAABA0PX018597,Cornhusker Toyota,NE
2023,TRD Pro 4x4,Ice Cap,77565,0.0,77565.0,Port to dealer,False,Available,7SVAAABA0PX018745,AutoNation Toyota Leesburg,VA
2023,Limited 4x4,Supersonic Red,69265,1999.0,71264.0,At dealer,False,DealerHold,7SVAAABA0PX018793,Foothills Toyota,WA
2023,TRD Pro 4x4,Ice Cap,77565,0.0,77565.0,Port to dealer,False,DealerHold,7SVAAABA0PX018843,Sheehy Toyota of Laurel,MD
2023,TRD Pro 4x4,Magnetic Gray Metallic,77565,0.0,77565.0,At dealer,False,,7SVAAABA0PX018910,Toyota Town,CA
2023,Limited 4x4,Wind Chill Pearl,69265,0.0,69265.0,At dealer,False,DealerHold,7SVAAABA0PX019099,Koons Tysons Toyota,VA
2023,Capstone 4x4,Magnetic Gray Metallic,79865,0.0,79865.0,At dealer,False,DealerHold,7SVAAABA0PX019135,Seeger Toyota,MO
2023,TRD Pro 4x4,Midnight Black Metallic,77565,0.0,77565.0,Port to dealer,True,DealerHold,7SVAAABA0PX019152,Vancouver Toyota,WA
2023,Limited 4x4,Magnetic Gray Metallic,69265,0.0,69265.0,At dealer,False,Available,7SVAAABA0PX019166,Green's Toyota of Lexington,KY
2023,Platinum 4x4,Midnight Black Metallic,75465,0.0,75465.0,Port to dealer,True,DealerHold,7SVAAABA0PX019216,Team Toyota,OH
2023,Limited 4x4,Army Green,69265,0.0,69265.0,At dealer,False,,7SVAAABA0PX019247,Future Toyota of Yuba City,CA
2023,Platinum 4x4,Wind Chill Pearl,75465,0.0,75465.0,At dealer,False,DealerHold,7SVAAABA0PX019278,L & S Toyota of Beckley,WV
2023,Platinum 4x4,Magnetic Gray Metallic,75465,0.0,75465.0,Port to dealer,False,,7SVAAABA0PX019281,Toyota of Erie,PA
2023,Capstone 4x4,Wind Chill Pearl,79865,0.0,79865.0,Port to dealer,False,DealerHold,7SVAAABA0PX019295,Lia Toyota of Rockland,NY
2023,SR5 4x4,Magnetic Gray Metallic,62865,0.0,62865.0,Port to dealer,False,DealerHold,7SVAAABA0PX019314,Kendall Toyota of Bend,OR
