Year,Model,Color,Base MSRP,Markup,Dealer Price,Shipping Status,Pre-Sold,Hold Status,VIN,Dealer,Dealer State
2023,LE FWD,Blueprint,36885,0.0,36885.0,At dealer,False,DealerHold,5TDBRKEC0PS179239,Koons Toyota,MD
2024,LE FWD,Celestial Silver Metallic,37185,0.0,37185.0,Factory to port,False,Available,5TDBRKEC0RS43A204,Gettel Toyota of Lakewood,FL
2024,LE FWD,Ice Cap,37185,0.0,37185.0,Factory to port,False,DealerHold,5TDBRKEC0RS44A439,Westbury Toyota,NY
2024,LE FWD,Celestial Silver Metallic,37185,0.0,37185.0,Factory to port,False,DealerHold,5TDBRKEC0RS44A845,Doral Toyota,FL
2023,LE FWD,Ice Cap,36885,0.0,36885.0,Factory to port,True,Available,5TDBRKEC1PS179525,Greg Leblanc Toyota,LA
2024,LE FWD,Ice Cap,37185,0.0,37185.0,Factory to port,True,DealerHold,5TDBRKEC1RS180743,AutoNation Toyota Thornton Road,GA
2024,LE FWD,Celestial Silver Metallic,37185,1995.0,39180.0,Port to dealer,True,DealerHold,5TDBRKEC1RS181178,Toyota Carlsbad,CA
2024,LE FWD,Celestial Silver Metallic,37185,0.0,37185.0,Factory to port,False,DealerHold,5TDBRKEC1RS43B247,Coggin Toyota at the Avenues,FL
2024,LE FWD,Predawn Gray Mica,37185,3995.0,41180.0,Factory to port,False,DealerHold,5TDBRKEC1RS45D765,South Bay Toyota,CA
2024,LE FWD,Predawn Gray Mica,37185,0.0,37185.0,Factory to port,False,DealerHold,5TDBRKEC1RS46E653,Madera Toyota,CA
2023,LE FWD,Ruby Flare Pearl,36885,4995.0,41880.0,Factory to port,False,Available,5TDBRKEC2PS179811,Toyota of Victoria,TX
2024,LE FWD,Ice Cap,37185,0.0,37185.0,Port to dealer,False,DealerHold,5TDBRKEC2RS181142,Jim Coleman Toyota,MD
2024,LE FWD,Ice Cap,37185,0.0,37185.0,Port to dealer,False,DealerHold,5TDBRKEC2RS181173,Advantage Toyota,NY
2024,LE FWD,Celestial Silver Metallic,37185,0.0,37185.0,Factory to port,True,DealerHold,5TDBRKEC2RS42A466,Miller Toyota,VA
2024,LE FWD,Celestial Silver Metallic,37185,3995.0,41180.0,Factory to port,False,DealerHold,5TDBRKEC2RS45D869,South Bay Toyota,CA
2023,LE FWD,Ice Cap,36885,0.0,36885.0,At dealer,True,Available,5TDBRKEC3PS178795,Hamer Toyota,CA
2024,LE FWD,Midnight Black Metallic,37185,395.0,37580.0,Factory to port,True,,5TDBRKEC3RS45E223,Toyota of Olympia,WA
2024,LE FWD,Predawn Gray Mica,37185,0.0,37185.0,Factory to port,False,DealerHold,5TDBRKEC3RS46E427,Westbury Toyota,NY
2024,LE FWD,Celestial Silver Metallic,37185,0.0,37185.0,Port to dealer,False,DealerHold,5TDBRKEC4RS180915,Toyota City,NY
2024,LE FWD,Midnight Black Metallic,37185,0.0,37185.0,Port to dealer,False,DealerHold,5TDBRKEC4RS181403,Westbury Toyota,NY
2024,LE FWD,Predawn Gray Mica,37185,0.0,37185.0,Port to dealer,False,Available,5TDBRKEC4RS181563,Fordham Toyota,NY
2024,LE FWD,Ice Cap,37185,0.0,37185.0,Port to dealer,False,DealerHold,5TDBRKEC5RS181393,Toyota of North Hollywood,CA
2024,LE FWD,Predawn Gray Mica,37185,0.0,37185.0,Port to dealer,False,DealerHold,5TDBRKEC5RS181409,Atlantic Toyota,NY
2024,LE FWD,Predawn Gray Mica,37185,0.0,37185.0,Factory to port,True,,5TDBRKEC6RS42A308,Basil Toyota,NY
