Year,Model,Color,Drivetrain,Base MSRP,Markup,Dealer Price,Shipping Status,Pre-Sold,Hold Status,VIN,Dealer,Dealer State,Options
2023,Limited,Magnetic Gray Metallic,AWD,45550,1979.0,47529.0,Factory to port,False,,JTDAAAAF0P130AR47,Norm Reeves Toyota San Diego,CA,50 State Emissions | Advanced Tech Package | Carpet Mat Package | KARR Security System | Logo Side  Puddle Lamps[installed_msrp] | Luxury Package | Preferred Accy Pkg w/ All-Weather Mats
2023,Limited,Black,AWD,45550,0.0,45550.0,Factory to port,False,,JTDAAAAF0P130AR50,Longo Toyota,CA,50 State Emissions | Advanced Tech Package | All Weather Floor Liners/Cargo Tray | Luxury Package
2023,Limited,Black,AWD,45550,0.0,45550.0,Factory to port,False,,JTDAAAAF0P130CN36,Lia Toyota,MA,50 State Emissions | Advanced Tech Package | Luxury Package
2023,Limited,Black,AWD,45550,0.0,45550.0,Factory to port,False,,JTDAAAAF0P130CT09,Elgin Toyota,IL,"50 State Emissions | All Weather Floor Liners/Cargo Tray | Cargo Net[installed_msrp] | Key Gloves[installed_msrp] | Logo Side  Puddle Lamps[installed_msrp] | Luxury Package | Mudguards[installed_msrp] | Paint Protection Film - Hood, Fenders, Mirror Backs and Door Cups[installed_msrp] | Rear Bumper Applique[installed_msrp]"
2023,XLE,Heavy Metal,AWD,39950,0.0,39950.0,Factory to port,False,,JTDAAAAF0P130DC94,Baxter Toyota of Lincoln,NE,50 State Emissions | All Weather Floor Liners/Cargo Tray | First Aid Kit w/ PPE[installed_msrp] | Logo Side  Puddle Lamps[installed_msrp] | Mudguards[installed_msrp] | Owner's Portfolio | Premium Paint Charge | Rear Bumper Applique[installed_msrp]
2023,Limited,Supersonic Red,AWD,45550,0.0,45550.0,Factory to port,False,,JTDAAAAF0P130DD13,"Molle Toyota, Inc.",MO,50 State Emissions | All Weather Floor Liners/Cargo Tray | Logo Side  Puddle Lamps[installed_msrp] | Luxury Package | Premium Paint Charge | Rear Bumper Applique[installed_msrp]
2023,XLE,Magnetic Gray Metallic,AWD,39950,1274.0,41224.0,Factory to port,False,,JTDAAAAF0P131BY52,Tom Wood Toyota,IN,"50 State Emissions | All Weather Floor Liners/Cargo Tray | Key Gloves[installed_msrp] | Logo Side  Puddle Lamps[installed_msrp] | Mudguards[installed_msrp] | Paint Protection Film - Hood, Fenders, Mirror Backs and Door Cups[installed_msrp] | Rear Bumper Applique[installed_msrp] | Vehicle Theft Registration  | Xzilon"
2023,Limited,Supersonic Red,AWD,45550,0.0,45550.0,At dealer,False,Available,JTDAAAAF0P3000695,"Bristol Toyota, Inc.",MA,50 State Emissions | Advanced Tech Package | All Weather Floor Liners/Cargo Tray | Luxury Package | Premium Paint Charge
2023,XLE,Heavy Metal,AWD,39950,0.0,39950.0,At dealer,False,,JTDAAAAF0P3002396,K-M Toyota,MA,50 State Emissions | Mudguards[installed_msrp] | Preferred Accy Pkg w/ All-Weather Mats | Premium Paint Charge
2023,XLE,Black,AWD,39950,0.0,39950.0,At dealer,False,,JTDAAAAF0P3003130,Butler Toyota,GA,50 State Emissions | 6-Gallons of Gas | Carpet Floor Mats with Carpet Trunk Mat | Paint Protection Film - Hood & Door Package | Phone Cable Charge Package | SET Digital Portfolio | TOYOGUARD Platinum
2023,Limited,OXYGEN WHITE,AWD,45550,0.0,45550.0,At dealer,False,Available,JTDAAAAF0P3003919,"Phil Wright Toyota, Co.",AR,50 State Emissions | Cargo Net | Connectivity Kit | Lemon Law Book | Luxury Package | Mud Guards | PDS - Pre Delivery Services | Premium Carpet Mat Set | Premium Paint Charge | Vehicle Fueling (4 Gal.) | Vehicle Protection Package
2023,Limited,Black,AWD,45550,0.0,45550.0,At dealer,False,,JTDAAAAF0P3004553,Mid City Toyota,CA,50 State Emissions | All Weather Floor Liners/Cargo Tray | Luxury Package
2023,Limited,Magnetic Gray Metallic,AWD,45550,0.0,45550.0,At dealer,False,,JTDAAAAF0P3005072,Don Moore Toyota,KY,50 State Emissions | All Weather Floor Liners/Cargo Tray | Door Edge Guards[installed_msrp] | Front Side Toyota Puddle Lamps[installed_msrp] | Luxury Package | Owner's Portfolio | Rear Bumper Applique[installed_msrp]
2023,XLE,Oxygen White,AWD,39950,0.0,39950.0,At dealer,False,Available,JTDAAAAF0P3005752,Classic Toyota,OH,50 State Emissions | All Weather Floor Liners/Cargo Tray | Mudguards[installed_msrp] | Owner's Portfolio | Premium Paint Charge
2023,Limited,PRECIOUS METAL,AWD,45550,0.0,45550.0,At dealer,False,Available,JTDAAAAF0P3005864,Orr Toyota,AR,50 State Emissions | Cargo Net | Connectivity Kit | Lemon Law Book | Luxury Package | PDS - Pre Delivery Services | Premium Carpet Mat Set | Premium Paint Charge | Vehicle Fueling (4 Gal.) | Vehicle Protection Package
