Year,Model,Color,Base MSRP,Markup,Dealer Price,Shipping Status,Pre-Sold,Hold Status,VIN,Dealer,Dealer State
2023,Limited 4x2,Blueprint,52615,0.0,52615.0,At dealer,False,,5TFJA5AB0PX028770,Scott Clark Toyota,NC
2023,Limited 4x2,Army Green,52615,0.0,52615.0,At dealer,False,DealerHold,5TFJA5AB0PX028820,Mark McLarty Toyota,AR
2023,Limited 4x2,Celestial Silver Metallic,52615,0.0,52615.0,At dealer,False,,5TFJA5AB0PX029143,Toyota of Glendora,CA
2023,Limited 4x2,Celestial Silver Metallic,52615,0.0,52615.0,At dealer,False,Available,5TFJA5AB0PX029188,Toyota of Escondido,CA
2023,Limited 4x2,Magnetic Gray Metallic,52615,0.0,52615.0,At dealer,False,Available,5TFJA5AB0PX029532,Toyota of Dothan,AL
2023,Limited 4x2,Magnetic Gray Metallic,52615,0.0,52615.0,At dealer,False,Available,5TFJA5AB0PX029627,Fred Haas Toyota World,TX
2023,Limited 4x2,Army Green,52615,0.0,52615.0,At dealer,False,Available,5TFJA5AB0PX029644,North Park Toyota of San Antonio,TX
2023,Limited 4x2,Magnetic Gray Metallic,52615,0.0,52615.0,At dealer,False,Available,5TFJA5AB0PX029773,Family Toyota of Burleson,TX
2023,Limited 4x2,Magnetic Gray Metallic,52615,1875.0,54490.0,At dealer,False,Available,5TFJA5AB0PX029806,Red McCombs Toyota,TX
2023,Limited 4x2,Magnetic Gray Metallic,52615,0.0,52615.0,Factory to port,False,Available,5TFJA5AB0PX029840,Eastern Shore Toyota,AL
2023,Limited 4x2,Midnight Black Metallic,52615,0.0,52615.0,Factory to port,False,Available,5TFJA5AB0PX029868,Toyota of Vero Beach,FL
2023,Limited 4x2,Magnetic Gray Metallic,52615,0.0,52615.0,At dealer,False,Available,5TFJA5AB0PX029871,Bert Ogden Toyota of Harlingen,TX
2023,Limited 4x2,Magnetic Gray Metallic,52615,0.0,52615.0,At dealer,False,Available,5TFJA5AB0PX029921,Family Toyota of Burleson,TX
2023,Limited 4x2,Ice Cap,52615,0.0,52615.0,Factory to port,False,,5TFJA5AB0PX25C304,Toyota of Deerfield Beach,FL
2024,Limited 4x2,Wind Chill Pearl,53905,0.0,53905.0,Factory to port,False,,5TFJA5AB0RX029985,Village Cadillac-Toyota,FL
2024,Limited 4x2,Wind Chill Pearl,53905,0.0,53905.0,Factory to port,False,Available,5TFJA5AB0RX030134,Jim Ellis Toyota of McDonough,GA
2023,Limited 4x2,Wind Chill Pearl,52615,0.0,52615.0,At dealer,False,,5TFJA5AB1PX029233,Venice Toyota,FL
2023,Limited 4x2,Celestial Silver Metallic,52615,1995.0,54610.0,At dealer,False,Available,5TFJA5AB1PX029328,Toyota of Killeen,TX
2023,Limited 4x2,Magnetic Gray Metallic,52615,2998.0,55613.0,At dealer,False,Available,5TFJA5AB1PX029376,San Marcos Toyota,TX
2023,Limited 4x2,Blueprint,52615,0.0,52615.0,At dealer,False,Available,5TFJA5AB1PX029409,Toyota of Clermont,FL
2023,Limited 4x2,Blueprint,52615,0.0,52615.0,At dealer,False,DealerHold,5TFJA5AB1PX029443,Brownsville Toyota,TX
2023,Limited 4x2,Smoked Mesquite,52615,0.0,52615.0,At dealer,False,Available,5TFJA5AB1PX029572,Toyota of North Miami,FL
2023,Limited 4x2,Magnetic Gray Metallic,52615,2594.0,55209.0,At dealer,False,Available,5TFJA5AB1PX029605,Universal Toyota,TX
2023,Limited 4x2,Army Green,52615,1995.0,54610.0,At dealer,False,Available,5TFJA5AB1PX029684,Cavender Toyota,TX
2023,Limited 4x2,Wind Chill Pearl,52615,0.0,52615.0,Factory to port,False,Available,5TFJA5AB1PX029748,Gettel Toyota of Bradenton,FL
2023,Limited 4x2,Midnight Black Metallic,52615,0.0,52615.0,At dealer,False,Available,5TFJA5AB1PX029796,Jim Hudson Toyota,SC
2023,Limited 4x2,Wind Chill Pearl,52615,0.0,52615.0,Factory to port,False,Available,5TFJA5AB1PX22A543,Prince Toyota,GA
2023,Limited 4x2,Army Green,52615,0.0,52615.0,At dealer,False,Available,5TFJA5AB2PX028124,DCH Toyota of Torrance,CA
2023,Limited 4x2,Army Green,52615,0.0,52615.0,At dealer,False,Available,5TFJA5AB2PX028169,Fred Haas Toyota Country,TX
2023,Limited 4x2,Magnetic Gray Metallic,52615,0.0,52615.0,At dealer,False,,5TFJA5AB2PX028219,Toyota of Downtown LA,CA
2023,Limited 4x2,Army Green,52615,0.0,52615.0,At dealer,False,,5TFJA5AB2PX028558,Toyota Chula Vista,CA
2023,Limited 4x2,Ice Cap,52615,0.0,52615.0,At dealer,False,Available,5TFJA5AB2PX028561,Hendrick Toyota Wilmington,NC
2023,Limited 4x2,Lunar Rock,52615,0.0,52615.0,Port to dealer,False,Available,5TFJA5AB2PX028821,Hamer Toyota,CA
2023,Limited 4x2,Supersonic Red,52615,0.0,52615.0,At dealer,False,Available,5TFJA5AB2PX028916,Chatham Parkway Toyota,GA
2023,Limited 4x2,Celestial Silver Metallic,52615,0.0,52615.0,At dealer,False,Available,5TFJA5AB2PX029158,Round Rock Toyota,TX
2023,Limited 4x2,Celestial Silver Metallic,52615,0.0,52615.0,At dealer,False,Available,5TFJA5AB2PX029323,Family Toyota of Burleson,TX
2023,Limited 4x2,Blueprint,52615,2488.0,55103.0,At dealer,False,Available,5TFJA5AB2PX029371,Toyota of Plano,TX
2023,Limited 4x2,Magnetic Gray Metallic,52615,0.0,52615.0,Port to dealer,False,Available,5TFJA5AB2PX029421,Toyota of Laredo,TX
2023,Limited 4x2,Celestial Silver Metallic,52615,1995.0,54610.0,At dealer,False,Available,5TFJA5AB2PX029435,Cavender Toyota,TX
2023,Limited 4x2,Midnight Black Metallic,52615,1995.0,54610.0,At dealer,False,Available,5TFJA5AB2PX029452,Cavender Toyota,TX
2023,Limited 4x2,Wind Chill Pearl,52615,1098.0,53713.0,At dealer,False,Available,5TFJA5AB2PX029516,Toyota of Cedar Park,TX
2023,Limited 4x2,Army Green,52615,1295.0,53910.0,At dealer,False,Available,5TFJA5AB2PX029547,Lone Star Toyota of Lewisville,TX
2023,Limited 4x2,Magnetic Gray Metallic,52615,2488.0,55103.0,At dealer,False,Available,5TFJA5AB2PX029693,Toyota of Plano,TX
2023,Limited 4x2,Magnetic Gray Metallic,52615,0.0,52615.0,At dealer,False,Available,5TFJA5AB2PX029757,Toyota of Del Rio,TX
2023,Limited 4x2,Magnetic Gray Metallic,52615,0.0,52615.0,At dealer,False,Available,5TFJA5AB2PX029788,North Park Toyota of San Antonio,TX
2024,Limited 4x2,Wind Chill Pearl,53905,0.0,53905.0,Factory to port,False,Available,5TFJA5AB2RX029972,Toyota of Hollywood,FL
2023,Limited 4x2,Supersonic Red,52615,0.0,52615.0,At dealer,False,Available,5TFJA5AB3PX028262,Ed Morse Delray Toyota,FL
2023,Limited 4x2,Army Green,52615,0.0,52615.0,At dealer,False,Available,5TFJA5AB3PX028293,Fred Haas Toyota World,TX
2023,Limited 4x2,Magnetic Gray Metallic,52615,0.0,52615.0,At dealer,False,Available,5TFJA5AB3PX028441,Shottenkirk Toyota Weatherford,TX
2023,Limited 4x2,Supersonic Red,52615,0.0,52615.0,At dealer,False,Available,5TFJA5AB3PX028472,Fred Anderson Toyota,NC
2023,Limited 4x2,Midnight Black Metallic,52615,0.0,52615.0,At dealer,False,Available,5TFJA5AB3PX029444,Scott Clark Toyota,NC
2023,Limited 4x2,Magnetic Gray Metallic,52615,0.0,52615.0,At dealer,False,Available,5TFJA5AB3PX029606,Four Stars Toyota,OK
2023,Limited 4x2,Midnight Black Metallic,52615,0.0,52615.0,Factory to port,False,Available,5TFJA5AB3PX029721,Hutchinson Toyota of Albany,GA
2023,Limited 4x2,Ice Cap,52615,0.0,52615.0,At dealer,False,Available,5TFJA5AB3PX029783,Texas Toyota of Grapevine,TX
2023,Limited 4x2,Magnetic Gray Metallic,52615,1995.0,54610.0,At dealer,False,Available,5TFJA5AB3PX029878,Toyota of Killeen,TX
2024,Limited 4x2,Wind Chill Pearl,53905,1098.0,55003.0,Factory to port,False,Available,5TFJA5AB3RX030029,Toyota of Cedar Park,TX
2023,Limited 4x2,Smoked Mesquite,52615,0.0,52615.0,At dealer,False,Available,5TFJA5AB4PX028030,Tejas Toyota,TX
2023,Limited 4x2,Smoked Mesquite,52615,0.0,52615.0,At dealer,False,Available,5TFJA5AB4PX028707,Limbaugh Toyota,AL
2023,Limited 4x2,Midnight Black Metallic,52615,0.0,52615.0,At dealer,False,Available,5TFJA5AB4PX029145,Fred Haas Toyota World,TX
2023,Limited 4x2,Magnetic Gray Metallic,52615,0.0,52615.0,At dealer,False,Available,5TFJA5AB4PX029839,Toyota of Pharr,TX
2023,Limited 4x2,Magnetic Gray Metallic,52615,0.0,52615.0,Factory to port,False,Available,5TFJA5AB4PX029906,Parks Toyota of Deland,FL
2023,Limited 4x2,Midnight Black Metallic,52615,0.0,52615.0,Factory to port,False,Available,5TFJA5AB4PX30E341,Mike Erdman Toyota,FL
2023,Limited 4x2,Ice Cap,52615,0.0,52615.0,At dealer,False,Available,5TFJA5AB5PX028280,Greenville Toyota,NC
2023,Limited 4x2,Wind Chill Pearl,52615,0.0,52615.0,At dealer,False,,5TFJA5AB5PX028764,Rivertown Toyota,GA
2023,Limited 4x2,Ice Cap,52615,0.0,52615.0,At dealer,False,,5TFJA5AB5PX028912,Penske Toyota,CA
2023,Limited 4x2,Army Green,52615,1995.0,54610.0,At dealer,False,Available,5TFJA5AB5PX029011,Cavender Toyota,TX
2023,Limited 4x2,Midnight Black Metallic,52615,1995.0,54610.0,At dealer,False,Available,5TFJA5AB5PX029056,Cavender Toyota,TX
2023,Limited 4x2,Midnight Black Metallic,52615,0.0,52615.0,At dealer,False,,5TFJA5AB5PX029090,AutoNation Toyota Winter Park,FL
2023,Limited 4x2,Celestial Silver Metallic,52615,1995.0,54610.0,At dealer,False,Available,5TFJA5AB5PX029185,Cavender Toyota,TX
2023,Limited 4x2,Wind Chill Pearl,52615,2999.0,55614.0,At dealer,False,Available,5TFJA5AB5PX029431,Vic Vaughan Toyota of Boerne,TX
2023,Limited 4x2,Smoked Mesquite,52615,0.0,52615.0,At dealer,False,Available,5TFJA5AB5PX029543,Toyota of Clermont,FL
2023,Limited 4x2,Celestial Silver Metallic,52615,0.0,52615.0,At dealer,False,Available,5TFJA5AB5PX029798,Pat Lobb Toyota of McKinney,TX
2023,Limited 4x2,Celestial Silver Metallic,52615,0.0,52615.0,Factory to port,False,Available,5TFJA5AB5PX22C411,Beaver Toyota of Cumming,GA
2023,Limited 4x2,Midnight Black Metallic,51515,0.0,51515.0,At dealer,False,Available,5TFJA5AB6PX025663,Modern Toyota,NC
2023,Limited 4x2,Celestial Silver Metallic,52615,0.0,52615.0,Port to dealer,False,,5TFJA5AB6PX028739,Gosch Toyota,CA
2023,Limited 4x2,Army Green,52615,2995.0,55610.0,At dealer,True,Available,5TFJA5AB6PX029485,Bryan College Station Toyota,TX
2023,Limited 4x2,Magnetic Gray Metallic,52615,1995.0,54610.0,At dealer,False,Available,5TFJA5AB6PX029874,Cavender Toyota,TX
2023,Limited 4x2,Midnight Black Metallic,52615,0.0,52615.0,Factory to port,False,Available,5TFJA5AB6PX029924,Milton Ruben Toyota of Augusta,GA
2023,Limited 4x2,Magnetic Gray Metallic,52615,0.0,52615.0,Factory to port,False,Available,5TFJA5AB6PX25B366,Greg Leblanc Toyota,LA
2023,Limited 4x2,Celestial Silver Metallic,52615,0.0,52615.0,At dealer,False,,5TFJA5AB7PX027003,Prince Toyota,GA
2023,Limited 4x2,Army Green,52615,0.0,52615.0,At dealer,False,DealerHold,5TFJA5AB7PX027518,Family Toyota of Burleson,TX
