Year,Model,Color,Base MSRP,Markup,Dealer Price,Shipping Status,Pre-Sold,Hold Status,VIN,Dealer,Dealer State
2023,Limited AWD,Titanium Glow,42765,0.0,42765.0,Factory to port,False,,JTEAAAAH0P136EU21,Dan Deery Toyota,IA
2023,Nightshade Edition AWD,Celestial Black,39955,1899.0,41854.0,Factory to port,False,,JTEAAAAH0P137ET03,Frank Fletcher Toyota,MO
2023,Limited AWD,Ruby Flare Pearl,42265,0.0,42265.0,At dealer,False,Available,JTEAAAAH0PJ129612,Community Toyota,TX
2023,LE AWD,Black,34620,0.0,34620.0,Factory to port,False,DealerHold,JTEAAAAH0PJ136821,Tri County Toyota,PA
2023,Limited AWD,Ruby Flare Pearl,42765,0.0,42765.0,Port to dealer,False,DealerHold,JTEAAAAH0PJ139122,Walser Bloomington Toyota,MN
2023,Nightshade Edition AWD,Ruby Flare Pearl,39955,0.0,39955.0,At dealer,False,DealerHold,JTEAAAAH0PJ139542,Kalispell Toyota,MT
2023,Limited AWD,Coastal Gray Metallic,42765,0.0,42765.0,Port to dealer,False,,JTEAAAAH0PJ139766,Toyota of Merrillville,IN
2023,Limited AWD,Celestial Black,42765,0.0,42765.0,Port to dealer,True,DealerHold,JTEAAAAH0PJ139945,AutoNation Toyota Libertyville,IL
2023,XLE AWD,Ruby Flare Pearl,38830,0.0,38830.0,At dealer,False,Available,JTEAAAAH0PJ140223,Quality Toyota,MN
2023,Nightshade Edition AWD,Celestial Black,39955,0.0,39955.0,At dealer,False,,JTEAAAAH0PJ140657,Santa Cruz Toyota,CA
2023,Nightshade Edition AWD,Wind Chill Pearl,39955,0.0,39955.0,Port to dealer,True,DealerHold,JTEAAAAH0PJ141291,Toyota of Bowling Green,KY
2023,Limited AWD,Wind Chill Pearl,42765,0.0,42765.0,Port to dealer,True,DealerHold,JTEAAAAH0PJ141484,Carlson Toyota,MN
2023,Limited AWD,Titanium Glow,42765,0.0,42765.0,At dealer,True,DealerHold,JTEAAAAH0PJ141694,Community Toyota,TX
2023,XLE AWD,Coastal Gray Metallic,38830,0.0,38830.0,At dealer,False,Available,JTEAAAAH0PJ141744,Ball Toyota of Charleston,WV
2023,XLE AWD,Blueprint,38830,0.0,38830.0,At dealer,False,,JTEAAAAH0PJ141856,Larry Lassen Toyota,OR
2023,XLE AWD,Coastal Gray Metallic,38830,0.0,38830.0,Port to dealer,True,DealerHold,JTEAAAAH0PJ141887,Schaumburg Toyota,IL
2023,Limited AWD,Celestial Black,42765,888.0,43653.0,Port to dealer,False,,JTEAAAAH0PJ141954,Romeoville Toyota,IL
2023,Limited AWD,Ruby Flare Pearl,42765,0.0,42765.0,Port to dealer,False,DealerHold,JTEAAAAH0PJ142070,Jay Wolfe Toyota,MO
2023,Limited AWD,Titanium Glow,42765,0.0,42765.0,At dealer,False,Available,JTEAAAAH0PJ142134,New Country Toyota of Westport,CT
2023,XLE AWD,Wind Chill Pearl,38830,0.0,38830.0,At dealer,False,Available,JTEAAAAH0PJ142151,Northway Toyota,NY
2023,LE AWD,Coastal Gray Metallic,34620,0.0,34620.0,At dealer,False,,JTEAAAAH0PJ142215,Camelback Toyota,AZ
2023,LE AWD,Wind Chill Pearl,34620,0.0,34620.0,Port to dealer,False,DealerHold,JTEAAAAH0PJ142263,Findlay Toyota,NV
2023,XLE AWD,Blueprint,38830,3000.0,41830.0,At dealer,False,Available,JTEAAAAH0PJ142344,Toyota of Hattiesburg,MS
2023,Limited AWD,Blueprint,42765,0.0,42765.0,Port to dealer,False,DealerHold,JTEAAAAH0PJ142375,Olathe Toyota,KS
2023,Limited AWD,Wind Chill Pearl,42765,0.0,42765.0,Port to dealer,False,DealerHold,JTEAAAAH0PJ142425,John Weiss' Toyota of South County,MO
2023,Limited AWD,Ruby Flare Pearl,42765,0.0,42765.0,Port to dealer,True,,JTEAAAAH0PJ142537,St. Cloud Toyota,MN
2023,Limited AWD,Wind Chill Pearl,42765,0.0,42765.0,At dealer,False,,JTEAAAAH0PJ142618,Centennial Toyota,NV
2023,Limited AWD,Wind Chill Pearl,42765,0.0,42765.0,Port to dealer,True,DealerHold,JTEAAAAH0PJ142649,Rudy Luther Toyota,MN
2023,LE AWD,Wind Chill Pearl,34620,0.0,34620.0,Port to dealer,False,,JTEAAAAH0PJ142666,Okoboji Toyota,IA
2023,Nightshade Edition AWD,Wind Chill Pearl,39955,0.0,39955.0,Factory to port,False,,JTEAAAAH0PJ142683,Greentree Toyota,CT
2023,LE AWD,Titanium Glow,34620,0.0,34620.0,At dealer,False,,JTEAAAAH0PJ142697,"Bristol Toyota, Inc.",MA
2023,LE AWD,Black,34620,0.0,34620.0,Port to dealer,False,Available,JTEAAAAH0PJ142702,Baxter Toyota of La Vista,NE
2023,XLE AWD,Black,38830,0.0,38830.0,Factory to port,False,,JTEAAAAH0PJ142716,Ourisman Fairfax Toyota,VA
2023,XLE AWD,Titanium Glow,38830,0.0,38830.0,At dealer,False,Available,JTEAAAAH0PJ142750,South Dade Toyota,FL
2023,Limited AWD,Wind Chill Pearl,42765,0.0,42765.0,Port to dealer,False,,JTEAAAAH0PJ142778,Toyota of Lincolnwood,IL
2023,Limited AWD,Coastal Gray Metallic,42765,0.0,42765.0,Factory to port,False,,JTEAAAAH0PJ142781,Colonial Toyota,CT
2023,Limited AWD,Ruby Flare Pearl,42765,399.0,43164.0,Port to dealer,False,DealerHold,JTEAAAAH0PJ142795,Bommarito Toyota,MO
2023,Limited AWD,Ruby Flare Pearl,42765,0.0,42765.0,Factory to port,True,DealerHold,JTEAAAAH0PJ142814,Copeland Toyota,MA
2023,XLE AWD,Wind Chill Pearl,38830,0.0,38830.0,Factory to port,True,DealerHold,JTEAAAAH0PJ142828,Ira Toyota,MA
2023,XLE AWD,Coastal Gray Metallic,38830,0.0,38830.0,Factory to port,False,,JTEAAAAH0PJ142831,Toyota of Runnemede,NJ
2023,XLE AWD,Coastal Gray Metallic,38830,0.0,38830.0,Factory to port,False,DealerHold,JTEAAAAH0PJ142845,Toyota of Wellesley,MA
2023,XLE AWD,Ruby Flare Pearl,38830,0.0,38830.0,Port to dealer,False,DealerHold,JTEAAAAH0PJ142876,Performance Toyota,OH
2023,LE AWD,Coastal Gray Metallic,34620,0.0,34620.0,Factory to port,False,,JTEAAAAH0PJ142909,Fred Anderson Toyota,NC
2023,XLE AWD,Celestial Black,38830,0.0,38830.0,Factory to port,False,Available,JTEAAAAH0PJ142943,Hendrick Toyota Apex,NC
2023,Limited AWD,Wind Chill Pearl,42765,0.0,42765.0,Factory to port,True,DealerHold,JTEAAAAH0PJ142957,Battlefield Toyota,VA
2023,Nightshade Edition AWD,Celestial Black,39955,989.0,40944.0,Factory to port,False,,JTEAAAAH0PJ143008,Dayton Toyota,NJ
2023,LE AWD,Wind Chill Pearl,34620,0.0,34620.0,Factory to port,True,DealerHold,JTEAAAAH0PJ143011,Woburn Toyota,MA
2023,XLE AWD,Titanium Glow,38830,0.0,38830.0,Factory to port,False,,JTEAAAAH0PJ143025,Route 22 Toyota,NJ
2023,Limited AWD,Wind Chill Pearl,42765,0.0,42765.0,Factory to port,False,DealerHold,JTEAAAAH0PJ143039,Toyota of Nashua,NH
2023,XLE AWD,Coastal Gray Metallic,38830,0.0,38830.0,Factory to port,False,,JTEAAAAH0PJ143073,Prestige Toyota,NY
2023,XLE AWD,Wind Chill Pearl,38830,0.0,38830.0,At dealer,False,Available,JTEAAAAH0PJ143106,Toyota Town,CA
2023,Limited AWD,Wind Chill Pearl,42765,0.0,42765.0,Factory to port,False,DealerHold,JTEAAAAH0PJ143123,Luv Toyota,NY
2023,XLE AWD,Wind Chill Pearl,38830,0.0,38830.0,At dealer,False,,JTEAAAAH0PJ143154,L & S Toyota of Beckley,WV
2023,Nightshade Edition AWD,Celestial Black,39955,0.0,39955.0,Factory to port,True,DealerHold,JTEAAAAH0PJ143185,Springhill Toyota,AL
2023,Limited AWD,Coastal Gray Metallic,42765,0.0,42765.0,Factory to port,False,DealerHold,JTEAAAAH0PJ143252,Tri County Toyota,PA
2023,Nightshade Edition AWD,Wind Chill Pearl,39955,3570.0,43525.0,Port to dealer,False,,JTEAAAAH0PJ143297,Gateway Toyota,NJ
2023,Limited AWD,Celestial Black,42765,0.0,42765.0,Port to dealer,True,DealerHold,JTEAAAAH0PJ143381,St. Charles Toyota,IL
2023,XLE AWD,Coastal Gray Metallic,38830,0.0,38830.0,Port to dealer,False,,JTEAAAAH0PJ143395,Toyota of Fox Lake,IL
2023,Limited AWD,Titanium Glow,42765,0.0,42765.0,Port to dealer,False,DealerHold,JTEAAAAH0PJ143400,Village Pointe Toyota,NE
2023,Limited AWD,Coastal Gray Metallic,42765,0.0,42765.0,Port to dealer,False,,JTEAAAAH0PJ143445,Nelson Toyota,VA
2023,XLE AWD,Ruby Flare Pearl,38830,0.0,38830.0,At dealer,False,,JTEAAAAH0PJ143526,Freeman Toyota,CA
2023,Limited AWD,Wind Chill Pearl,42765,0.0,42765.0,At dealer,False,Available,JTEAAAAH0PJ143560,Pohanka Toyota of Salisbury,MD
2023,Limited AWD,Wind Chill Pearl,42765,0.0,42765.0,Port to dealer,False,DealerHold,JTEAAAAH0PJ143610,Dan Hecht Chevrolet/Toyota,IL
2023,XLE AWD,Black,38830,0.0,38830.0,Port to dealer,False,,JTEAAAAH0PJ143638,Toyota of Glendale,CA
2023,Limited AWD,Blueprint,42765,0.0,42765.0,Port to dealer,False,,JTEAAAAH0PJ143719,Nashville Toyota North,TN
2023,XLE AWD,Blueprint,38830,0.0,38830.0,Port to dealer,False,,JTEAAAAH0PJ143817,Brewer Airport Toyota,PA
2023,XLE AWD,Coastal Gray Metallic,38830,0.0,38830.0,Port to dealer,False,,JTEAAAAH0PJ143820,DARCARS Toyota,MD
2023,Limited AWD,Coastal Gray Metallic,42765,0.0,42765.0,At dealer,False,,JTEAAAAH0PJ143882,Mechanicsville Toyota,VA
2023,Limited AWD,Celestial Black,42765,0.0,42765.0,At dealer,False,Available,JTEAAAAH0PJ143963,Seminole Toyota,FL
2023,Limited AWD,Coastal Gray Metallic,42765,0.0,42765.0,Port to dealer,False,DealerHold,JTEAAAAH0PJ144028,Legends Toyota,KS
2023,XLE AWD,Ruby Flare Pearl,38830,0.0,38830.0,Port to dealer,False,DealerHold,JTEAAAAH0PJ144062,Kings Toyota,OH
2023,Limited AWD,Wind Chill Pearl,42765,0.0,42765.0,Port to dealer,False,DealerHold,JTEAAAAH0PJ144076,Toyota of Murfreesboro,TN
2023,Limited AWD,Wind Chill Pearl,42765,0.0,42765.0,Port to dealer,False,DealerHold,JTEAAAAH0PJ144093,Lombard Toyota,IL
2023,LE AWD,Blueprint,34620,0.0,34620.0,Port to dealer,False,,JTEAAAAH0PJ144112,Peterson Toyota,ID
2023,Limited AWD,Wind Chill Pearl,42765,0.0,42765.0,Port to dealer,True,DealerHold,JTEAAAAH0PJ144126,Rohrich Toyota,PA
2023,XLE AWD,Coastal Gray Metallic,38830,1798.0,40628.0,Port to dealer,True,DealerHold,JTEAAAAH0PJ144143,Toyota of Portland on Broadway,OR
2023,Limited AWD,Celestial Black,42765,0.0,42765.0,Port to dealer,False,DealerHold,JTEAAAAH0PJ144157,Graham Toyota,OH
2023,XLE AWD,Coastal Gray Metallic,38830,0.0,38830.0,Port to dealer,False,DealerHold,JTEAAAAH0PJ144160,Luv Toyota,NY
2023,XLE AWD,Wind Chill Pearl,38830,0.0,38830.0,Port to dealer,False,,JTEAAAAH0PJ144188,Principle Toyota,TN
2023,Limited AWD,Celestial Black,42765,0.0,42765.0,At dealer,False,DealerHold,JTEAAAAH0PJ144207,Toyota of Massapequa,NY
2023,XLE AWD,Wind Chill Pearl,38830,0.0,38830.0,At dealer,False,,JTEAAAAH0PJ144224,Westbury Toyota,NY
2023,LE AWD,Black,34620,0.0,34620.0,At dealer,False,,JTEAAAAH0PJ144305,Hertrich Toyota,DE
2023,XLE AWD,Coastal Gray Metallic,38830,0.0,38830.0,Port to dealer,True,Available,JTEAAAAH0PJ144353,Watermark Toyota,KY
2023,XLE AWD,Celestial Black,38830,0.0,38830.0,At dealer,True,DealerHold,JTEAAAAH0PJ144420,Ira Toyota,MA
2023,Limited AWD,Coastal Gray Metallic,42765,0.0,42765.0,At dealer,False,Available,JTEAAAAH0PJ144434,Bill Penney Toyota,AL
2023,Limited AWD,Coastal Gray Metallic,42765,0.0,42765.0,At dealer,False,Available,JTEAAAAH0PJ144448,Doral Toyota,FL
2023,LE AWD,Coastal Gray Metallic,34620,0.0,34620.0,Port to dealer,False,,JTEAAAAH0PJ144451,Nelson Toyota,VA
2023,Limited AWD,Celestial Black,42765,0.0,42765.0,Port to dealer,False,,JTEAAAAH0PJ144501,St. Charles Toyota,IL
2023,LE AWD,Wind Chill Pearl,34620,0.0,34620.0,At dealer,False,,JTEAAAAH0PJ144532,Handy Toyota,VT
2023,Limited AWD,Wind Chill Pearl,42765,0.0,42765.0,Port to dealer,False,DealerHold,JTEAAAAH0PJ144580,Nourse Toyota,OH
2023,XLE AWD,Wind Chill Pearl,38830,0.0,38830.0,Port to dealer,True,DealerHold,JTEAAAAH0PJ144627,Heart City Toyota,IN
2023,XLE AWD,Wind Chill Pearl,38830,0.0,38830.0,At dealer,False,,JTEAAAAH0PJ144630,York Toyota,ME
2023,XLE AWD,Titanium Glow,38830,0.0,38830.0,Port to dealer,False,,JTEAAAAH0PJ144658,Interstate Toyota,NY
2023,Nightshade Edition AWD,Wind Chill Pearl,39955,0.0,39955.0,Port to dealer,True,DealerHold,JTEAAAAH0PJ144661,Berglund Toyota,VA
2023,LE AWD,Titanium Glow,34620,0.0,34620.0,Factory to port,False,,JTEAAAAH0PJ144675,Sunrise Toyota North,NY
